restaurant_code,name,google_place_id,google_record_name,distance_m,record_type,certainty,notes
rest_0817,Benoit en Bernard Dewitte,ChIJ52wMS2ISw0cRt2axufKrsfQ,Benoit & Bernard Dewitte,32.0,restaurant,confirmed,"Name variant is ""en"" vs ""&"" only (""Benoit en Bernard Dewitte"" vs ""Benoit & Bernard Dewitte""), distance 32.0m — same venue, confirmed on review. | distance 32.0m in 100-500m band or name mismatch at close range — not auto-accepted. query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Beertegemstraat 52, 9750 Kruisem, Belgium | NAME MISMATCH: db='Benoit en Bernard Dewitte' vs google='Benoit & Bernard Dewitte'"
rest_0818,Fleur de Lin,ChIJs12TkoKaw0cRT2bEO-xxCfE,Fleur de Lin,10.5,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Lokerenbaan 100, 9240 Zele, Belgium"
rest_0819,Le Julien,ChIJP2avJyZww0cRMvNBCr5h3LE,LE JULIEN,17.1,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Prinsenstraat 9, 9880 Aalter, Belgium"
rest_0820,Publiek,ChIJG55QGjZxw0cR8A2N2JmgOmY,Publiek,6.8,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Ham 39, 9000 Gent, Belgium"
rest_0821,Hofke van Bazel,ChIJxxtUMAHzw0cR86eV7_pbGd0,Hofke van Bazel,1.2,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Kon. Astridplein 11, 9150 Bazel, Belgium"
rest_0822,'t Korennaer,ChIJ98ftvPaLw0cRWTo1bmivL2c,'t Korennaer,18.1,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Nieuwkerkenstraat 4, 9100 Sint-Niklaas, Belgium"
rest_0823,Moscou by Danny Horseele,ChIJa901vSh1w0cRkeYP0Llv6sc,Moscou by Danny Horseele,46.8,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Oefenpleinstraat 3, 9050 Gent, Belgium"
rest_0824,Bar Bulot Zedelgem,ChIJ6c-xnqVRw0cRGQigl7ClmHY,Bar Bulot ZEDELGEM - BE,45.6,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Loppemsestraat 52, 8210 Zedelgem, Belgium"
rest_0825,Boo Raan,ChIJe4QkcNKnxEcRk5bL5ZdYy-E,Boo Raan,6.5,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Edward Verheyestraat 17, 8300 Knokke-Heist, Belgium"
rest_0826,Carcasse,ChIJhzjOFACX3EcRePILDQnM_oU,Carcasse Sint-Idesbald,3.6,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=H. Christiaenlaan 5, 8670 Koksijde, Belgium"
rest_0827,De Zuidkant,ChIJ7VDTVs5Zw0cR1l8QHDX_BFA,De Zuidkant,4.6,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Jacob van Maerlantstraat 6, 8340 Damme, Belgium"
rest_0828,HAUT,ChIJ2xQ_6Yyp3EcR1xp9ebnh82Y,Haut,19.0,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Leopold III-laan 2, 8400 Oostende, Belgium"
rest_0829,L'Envie,ChIJKyxCKFoiw0cReymePe9p9Lk,L'Envie,75.7,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Helkijnstraat 38, 8554 Zwevegem, Belgium"
rest_0830,Mémoire,ChIJL0oHdplRw0cRa5LqKJwcwsw,Restaurant Mémoire,4.0,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Dijver 7, 8000 Brugge, Belgium"
rest_0831,Rebelle,ChIJvfs2fKw6w0cR6AicNgt47EM,Rebelle,7.7,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Rekkemsestraat 226, 8510 Kortrijk, Belgium"
rest_0832,Sans Cravate,ChIJlSE0HLZQw0cRlxTWL7FhGII,Sans Cravate,6.2,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Langestraat 159, 8000 Brugge, Belgium"
rest_0833,Cuines 33,ChIJ1WK9RdKnxEcRGKnrOlBK6Vs,Cuines 33,4.9,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Smedenstraat 33, 8300 Knokke-Heist, Belgium"
rest_0834,L'air du temps,ChIJv1MLXMh1wUcRydtIRRQyLXQ,L’air du temps,11.1,restaurant,confirmed,"NAME VARIANT (punctuation/capitalization only): db='L'air du temps' vs google='L’air du temps'. query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Rue de la Croix Monet 2, 5310 Éghezée, Belgium"
rest_0835,Arabelle Meirlaen,ChIJd6kJo3epwUcRdCbI2UDBn0Q,Arabelle Meirlaen,8.9,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Chem. de Bertrandfontaine 7, 4570 Marchin, Belgium"
rest_0836,La Paix,,La Paix,2707.6,restaurant,unclear,"REJECTED: distance 2707.6m > 500m threshold. query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Rue Royale 103, 1000 Bruxelles, Belgium"
rest_0837,The Jane,ChIJvQDh9hj3w0cRPe9AMD95QGw,The Jane,7.4,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Limastraat 5, 2000 Antwerpen, Belgium"
rest_0838,Comme chez Soi,ChIJTQxNAnrEw0cRsz3Wx2HWO5o,Comme chez Soi,1.7,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Pl. Rouppe 23, 1000 Bruxelles, Belgium"
rest_0839,Sel Gris,ChIJLwcA2VioxEcReCD8wyzVR8A,Sel Gris,0.9,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Zeedijk-Duinbergen 314, 8301 Knokke-Heist, Belgium"
rest_0840,Table d'Amis,ChIJq6p6mh07w0cReU2av7on66s,Table d'Amis,5.5,restaurant,confirmed,"query=name+street+city | types=establishment,food,point_of_interest,restaurant | addr=Sint-Maartenskerkhof 8, 8500 Kortrijk, Belgium"
rest_0841,Vol-Ver,ChIJ4TKZUEolw0cRREo1HOB3h7Q,Vol-Ver,10.1,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Watervalstraat 25, 8510 Kortrijk, Belgium"
rest_0842,Willem Hiele,ChIJ4Q4MHFWW3EcR_LPF7RLN_U0,Willem Hiele,31.8,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Kapittelstraat 71, 8460 Oudenburg, Belgium"
rest_0843,Zet'Joe by Geert Van Hecke,ChIJzbceychQw0cRAX_4EtGWiRE,Zet'joe,5.6,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Langestraat 11, 8000 Brugge, Belgium"
rest_0844,Subtiel,ChIJDfbHg7aX3EcRbSJC56whjpo,Subtiel,2.1,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Westhoeklaan 31, 8660 De Panne, Belgium"
rest_0845,Alter,ChIJv90KSn7hwEcRNiMX0wcF_o8,ALTER,7.6,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Bilzersteenweg 366, 3700 Tongeren-Borgloon, Belgium"
rest_0846,Aurum by Gary Kirchens,,Restaurant Aurum,587.0,restaurant,unclear,"REJECTED: distance 587.0m > 500m threshold. query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Ordingen-Dorp 50, 3800 Sint-Truiden, Belgium"
rest_0847,De Kristalijn,ChIJOzTrzPvbwEcRmE88jaYIB-4,De Kristalijn,9.9,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Wiemesmeerstraat 105, 3600 Genk, Belgium"
rest_0848,De Mijlpaal,ChIJiVFuh7XjwEcRHfYg1SVfECs,De Mijlpaal,1.8,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Sint-Truiderstraat 25, 3700 Tongeren-Borgloon, Belgium"
rest_0849,Hoeve De Bies,ChIJ00OmWCmTwEcR1nwPgeuk55s,Hoeve de Bies,3.4,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Bies 4, 3790 Voeren, Belgium"
rest_0850,Hostellerie Vivendum,,Hostellerie Vivendum,3.8,hotel_restaurant_ambiguous,unclear,"UNCLEAR: record types include both lodging and food — possible hotel-restaurant trap, needs human judgment. query=name+city | types=establishment,food,lodging,point_of_interest,restaurant | addr=Vissersstraat 2, 3650 Dilsen-Stokkem, Belgium"
rest_0851,Innesto,ChIJRV2xBGcmwUcRAIzH_wY8Cbw,Innesto,21.4,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Kapelhof 13/15, 3520 Zonhoven, Belgium"
rest_0852,JER,ChIJE3ehGIIhwUcR5ozVcID-wOA,JER,0.7,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Persoonstraat 16, 3500 Hasselt, Belgium"
rest_0853,La Botte,ChIJW-19VNPewEcRIbWREWTVzlE,La Botte,8.4,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Europalaan 99, 3600 Genk, Belgium"
rest_0854,Modest,ChIJYS1lLdzRwEcR7hUSNjHVKZs,Modest,11.4,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Weg naar Opoeteren 117, 3660 Oudsbergen, Belgium"
rest_0855,Ogst,ChIJY1ZdgoAhwUcRBpJOOB5BaEc,Ogst,5.9,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Ridder Portmansstraat 4, 3500 Hasselt, Belgium"
rest_0856,Melchior,ChIJewjNTWhswUcRKOUYMQ5kRAo,Melchior,7.9,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Veemarkt 47, 3300 Tienen, Belgium"
rest_0857,Agnes,ChIJPTULVpzBw0cRcE4AGVVy8Og,Agnes,2.6,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Processiestraat 3, 1700 Dilbeek, Belgium"
rest_0858,EST,ChIJV7Cpk2NhwUcRmn07ubvWFHk,Restaurant EST,38.3,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Kapeldreef 46, 3001 Leuven, Belgium"
rest_0859,Atelier Noun,ChIJt2hg9eBhwUcRXHyZRYos4Ro,Atelier Noun,3.1,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Dorpstraat 252, 3061 Bertem, Belgium"
rest_0860,Barge,ChIJlS0j6pvDw0cR2DWORKF5U-g,Barge,5.2,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Bd d'Ypres 33, 1000 Bruxelles, Belgium"
rest_0861,Da Mimmo,ChIJja1dpVfbw0cRkQQNN2ApMsc,Da Mimmo,6.1,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Av. du Roi Chevalier 24, 1200 Woluwe-Saint-Lambert, Belgium"
rest_0862,Eliane,ChIJhZuX3zrDw0cR8N-KCi-323Y,Eliane,20.7,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Rue Saint-Laurent 36, 1000 Bruxelles, Belgium"
rest_0863,humus x hortense,ChIJ08qMpn3Ew0cRnJofBbugJ1Y,Humus x Hortense,2.9,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Rue de Vergnies 2, 1050 Bruxelles, Belgium"
rest_0864,Kamo,ChIJa9qo48ErckERUT_z55NVblk,Kamo,4.4,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Chau. de Waterloo 550A, 1050 Ixelles, Belgium"
rest_0865,La Villa in the Sky,ChIJURIANu_Ew0cRxqCnfbJzWfQ,La Villa in the Sky,13.4,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=IT Tower, Louizalaan 480/25th floor, 1050 Brussel, Belgium"
rest_0866,Les Gourmands,ChIJAy5Nax1dwkcRW5SdZPjesDA,LES GOURMANDS,2.8,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Rue de Sars 15, 7040 Quévy, Belgium"
rest_0867,Le Vieux Château,ChIJvWDVhfAGw0cRbST_ePiPVaY,Le Vieux Château,2.3,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Rue Dr Degavre Straat 23, 7880 Flobecq, Belgium"
rest_0868,l'Impératif d'Éole,ChIJtfLhHgBFwkcRwYTpjPWIc2M,L'Impératif d'Eole,13.4,restaurant,confirmed,"NAME VARIANT (accent + capitalization only, same category as punctuation): db='l'Impératif d'Éole' vs google='L'Impératif d'Eole'. Confirmed on review per user instruction (accent treated same as hyphen/ampersand/capitalization). NAME MISMATCH (content differs, not just punctuation): db='l'Impératif d'Éole' vs google='L'Impératif d'Eole'. query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Grand Route 58, 7040 Quévy, Belgium"
rest_0869,Vicomté,ChIJRZvrOEj7wkcRt129aIIlXa4,Vicomté ( au Domaine d'Arondeau),10.1,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Rue d'Arondeau 29, 7601 Péruwelz, Belgium"
rest_0870,Au Gré du Vent,ChIJv3_EV1QxwkcRCtUczysCu3k,Au Gré du Vent,7.3,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Rue de Soudromont 67, 7180 Seneffe, Belgium"
rest_0871,Le Coq aux Champs,ChIJgYrhMHxTwEcRopXMP7AdyMk,Le Coq Aux Champs,3.1,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Rue du Montys 71, 4557 Tinlot, Belgium"
rest_0872,Le Roannay,,Le Roannay - Hôtel & Restaurant gastronomique,6.7,hotel_restaurant_ambiguous,unclear,"UNCLEAR: record types include both lodging and food — possible hotel-restaurant trap, needs human judgment. query=name+city | types=establishment,food,lodging,point_of_interest,restaurant | addr=Rue de Spa 155, 4970 Stavelot, Belgium"
rest_0873,Quadras,ChIJIxL0zOOJv0cR9cRALCNWtAQ,Restaurant Quadras,0.7,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Malmedyer Straße 53, 4780 St. Vith, Belgium"
rest_0874,¡Toma!,ChIJMTEeSH37wEcRe2JRaTfEdPg,¡Toma!,68.4,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Bd de la Sauvenière 70, 4000 Liège, Belgium"
rest_0875,Zur Post,,Gourmet-Restaurant Hotel Zur Post,3.1,restaurant,unclear,"REVERSED FROM CONFIRMED: Google's own record name is ""Gourmet-Restaurant Hotel Zur Post"" (editorial_summary confirms it is a hotel with rooms) even though types=[...] did not include ""lodging"". Type-based hotel detection missed this one; caught via a follow-up google_record_name keyword scan. Same hotel/restaurant-shares-coordinates risk as the 4 Hostellerie cases — left empty. query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Hauptstraße 39, 4780 St. Vith, Belgium"
rest_0876,Chai Gourmand,,Chai Gourmand,410.4,restaurant,unclear,"distance 410.4m — name comparison=exact, not within accepted band for this name-match tier. query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Rue Chainisse 53, 5030 Beuzet, Belgium"
rest_0877,Pré de chez vous,ChIJ53j0S4OZwUcRxRBBPGi5gZM,Pré de chez vous,6.1,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Chau. de Louvain 380, 5004 Namur, Belgium"
rest_0878,Le Beau Rivage by Curtis,ChIJ4wDobO-ZwUcRI2664C3euKw,Le Beau Rivage by Curtis,1.0,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Rue du Rivage 8, 5100 Namur, Belgium"
rest_0879,La Grange d'Hamois,ChIJD7wEc-mwwUcRLMPp4tFlAhI,La Grange D'Hamois,1.5,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Chau. d'Andenne 10A, 5363 Emptinne, Belgium"
rest_0880,Attablez-vous,ChIJ54D-NYWZwUcReU-sygrne3w,Attablez Vous,8.3,restaurant,confirmed,"NAME VARIANT (punctuation/capitalization only): db='Attablez-vous' vs google='Attablez Vous'. query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Tienne Maquet 16, 5000 Namur, Belgium"
rest_0881,l'Essentiel,ChIJc5FFKMmEwUcR7qhHz4WyCp4,L'Essentiel,21.5,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Rue Roger Clément 32, 5020 Namur, Belgium"
rest_0882,Arden,ChIJn0_BK-LHwUcRq4_u64GcKkg,Arden,29.8,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Rue de Montainpré 27, 5580 Rochefort, Belgium"
rest_0883,La Table-Lasne by Alain Bianchin,ChIJG2xo1X7Rw0cR7epAleuvayY,La Table Lasne by Alain Bianchin,6.2,restaurant,confirmed,"NAME VARIANT (punctuation/capitalization only): db='La Table-Lasne by Alain Bianchin' vs google='La Table Lasne by Alain Bianchin'. query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Rue du Try Bara 33, 1380 Lasne, Belgium"
rest_0884,Maison Marit,ChIJ-XAh8grSw0cRfPqNNCqsUr4,Maison Marit,8.9,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Chau. de Nivelles 336, 1420 Braine-l'Alleud, Belgium"
rest_0885,Philippe Meyers,ChIJi1yIdgjOw0cRQkCRbeF97NA,Restaurant Philippe Meyers,3.1,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Rue Doyen Van Belle 6, 1420 Braine-l'Alleud, Belgium"
rest_0886,Bistro Racine,ChIJQWmwBP3Lw0cRL-YRiiRU_io,Bistro Racine,31.5,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Pl. de la Station 3, 1440 Braine-le-Château, Belgium"
rest_0887,Aux petits oignons,ChIJ8SBAMuNxwUcRq_cazJGMljI,Aux Petits Oignons,1.0,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Chau. de Tirlemont 260, 1370 Jodoigne, Belgium"
rest_0888,La Grappe d'Or,ChIJB7gjo5Hr6kcR-VbUNu2XC1k,La Grappe d'Or,1.4,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Rte de Luxembourg 317, 6700 Arlon, Belgium"
rest_0889,Le Grand Verre,ChIJI2DizLNPwEcRUAKTOXA4jj4,Le Grand Verre *,11.7,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Pl. aux Foires 26, 6940 Durbuy, Belgium"
rest_0890,La Table de Manon,ChIJ4Qf-RFxOwEcRxBYHuzWhC18,La Table de Manon,4.8,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Rue de Givet 79, 6940 Grandhan, Belgium"
rest_0891,Bistrot Blaise,ChIJYUIrKC9LwEcRK_zxlz6U6D8,Bistrot Blaise,4.7,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Rue Prte Haute 5, 6900 Marche-en-Famenne, Belgium"
rest_0892,Les Pieds dans le Plat,ChIJAW-R8PJJwEcR5sHEr0Tq9K8,Les Pieds dans le Plat,10.2,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Rue du Ctre 3, 6990 Hotton, Belgium"
rest_0893,Le Gastronome,ChIJnds2IUB56kcRCb9rSzJ04bE,Le Gastronome - Jean Vrijdaghs et Sébastien Hankard,5.8,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Rue de Bouillon 2, 6850 Paliseul, Belgium"
rest_0894,Le Cor de Chasse,,Le Cor de Chasse,7.3,hotel_restaurant_ambiguous,unclear,"UNCLEAR: record types include both lodging and food — possible hotel-restaurant trap, needs human judgment. query=name+city | types=establishment,food,lodging,point_of_interest,restaurant | addr=Rue des Combattants 16, 6940 Wéris, Belgium"
