entity_type,code,name,city,year,rank,list_type
hotel,hotel_692,Hoshinoya Tokyo,Tokyo,2026,85,extended_51_100
hotel,hotel_717,Four Seasons Hong Kong,Hong Kong,2026,86,extended_51_100
hotel,hotel_771,Aman New York,New York,2026,87,extended_51_100
hotel,hotel_452,Borgo Egnazia,Savelletri,2026,88,extended_51_100
hotel,hotel_780,The Greenwich Hotel,New York,2026,92,extended_51_100
hotel,hotel_714,The Maybourne Riviera,Roquebrune-Cap-Martin,2026,93,extended_51_100
hotel,hotel_724,The Johri,Jaipur,2026,94,extended_51_100
hotel,hotel_338,Reschio,Lisciano Niccone,2026,95,extended_51_100
hotel,hotel_187,Capella Singapore,Singapore,2026,97,extended_51_100
hotel,hotel_764,Gleneagles,Auchterarder,2026,100,extended_51_100
restaurant,rest_0237,Schloss Schauenstein,Furstenau,2025,52,extended_51_100
restaurant,rest_0532,Den,Tokyo,2025,53,extended_51_100
restaurant,rest_0474,Jordnaer,Copenhagen,2025,56,extended_51_100
restaurant,rest_0193,Restaurant Tim Raue,Berlin,2025,58,extended_51_100
restaurant,rest_0133,Pujol,Mexico City,2025,60,extended_51_100
restaurant,rest_0842,Willem Hiele,Oudenburg,2025,62,extended_51_100
restaurant,rest_0156,Bozar,Brussels,2025,63,extended_51_100
restaurant,rest_0333,Quique Dacosta,Denia,2025,65,extended_51_100
restaurant,rest_0424,Hisa Franko,Kobarid,2025,69,extended_51_100
restaurant,rest_0502,Sazenka,Tokyo,2025,71,extended_51_100
restaurant,rest_0440,Chef Tam's Seasons,Macau,2025,72,extended_51_100
restaurant,rest_0212,Tantris,Munich,2025,73,extended_51_100
restaurant,rest_0330,Cocina Hermanos Torres,Barcelona,2025,78,extended_51_100
restaurant,rest_0190,Coda,Berlin,2025,79,extended_51_100
restaurant,rest_0736,SingleThread,Healdsburg,2025,80,extended_51_100
restaurant,rest_0336,Aponiente,El Puerto de Santa Maria,2025,84,extended_51_100
restaurant,rest_0356,Mugaritz,San Sebastian,2025,87,extended_51_100
restaurant,rest_0059,Le Bernardin,New York,2025,90,extended_51_100
restaurant,rest_0476,Koan,Copenhagen,2025,91,extended_51_100
restaurant,rest_0003,Al Gatto Verde,Modena,2025,92,extended_51_100
restaurant,rest_0738,Atelier Crenn,San Francisco,2025,96,extended_51_100
restaurant,rest_0763,Cesar,New York,2025,98,extended_51_100
restaurant,rest_0071,Neolokal,Istanbul,2025,100,extended_51_100
