award_id,country,country_code,award_category,award_category_local_name,winner_name,restaurant_name,guide_year,source_url,retrieval_date,notes
gma_012,Netherlands,NL,Sommelier of the Year,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-nederland-presenteert-nieuwe-gids-en-eert-de-chef-van-het-jaar-2026-en-andere-winnaars,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_013,Netherlands,NL,Best Dutch Chef Abroad,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-nederland-presenteert-nieuwe-gids-en-eert-de-chef-van-het-jaar-2026-en-andere-winnaars,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_014,Netherlands,NL,Craftsman of the Year,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-nederland-presenteert-nieuwe-gids-en-eert-de-chef-van-het-jaar-2026-en-andere-winnaars,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_015,Netherlands,NL,Wine List of the Year,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-nederland-presenteert-nieuwe-gids-en-eert-de-chef-van-het-jaar-2026-en-andere-winnaars,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_016,Netherlands,NL,New Chef on the Block,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-nederland-presenteert-nieuwe-gids-en-eert-de-chef-van-het-jaar-2026-en-andere-winnaars,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_017,Netherlands,NL,Vegetable Restaurant of the Year,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-nederland-presenteert-nieuwe-gids-en-eert-de-chef-van-het-jaar-2026-en-andere-winnaars,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_018,Netherlands,NL,Pleasure Award,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-nederland-presenteert-nieuwe-gids-en-eert-de-chef-van-het-jaar-2026-en-andere-winnaars,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_019,Netherlands,NL,Discovery of the Year,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-nederland-presenteert-nieuwe-gids-en-eert-de-chef-van-het-jaar-2026-en-andere-winnaars,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_020,Netherlands,NL,Mediterranean Restaurant,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-nederland-presenteert-nieuwe-gids-en-eert-de-chef-van-het-jaar-2026-en-andere-winnaars,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_021,Netherlands,NL,Asian Restaurant,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-nederland-presenteert-nieuwe-gids-en-eert-de-chef-van-het-jaar-2026-en-andere-winnaars,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_022,Netherlands,NL,Bistronome of the Year,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-nederland-presenteert-nieuwe-gids-en-eert-de-chef-van-het-jaar-2026-en-andere-winnaars,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_023,Netherlands,NL,Terrace of the Year,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-nederland-presenteert-nieuwe-gids-en-eert-de-chef-van-het-jaar-2026-en-andere-winnaars,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_024,Netherlands,NL,Cocktail Bar of the Year,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-nederland-presenteert-nieuwe-gids-en-eert-de-chef-van-het-jaar-2026-en-andere-winnaars,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_025,Belgium,BE,Chef of the Year,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-belgie-presenteert-23-editie-van-de-gids-2026,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_026,Belgium,BE,Young Chef of the Year (Flanders),,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-belgie-presenteert-23-editie-van-de-gids-2026,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_027,Belgium,BE,Young Chef of the Year (Wallonia),,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-belgie-presenteert-23-editie-van-de-gids-2026,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_028,Belgium,BE,Young Chef of the Year (Brussels),,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-belgie-presenteert-23-editie-van-de-gids-2026,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_029,Belgium,BE,Sommelier of the Year,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-belgie-presenteert-23-editie-van-de-gids-2026,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_030,Belgium,BE,Hostess of the Year,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-belgie-presenteert-23-editie-van-de-gids-2026,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_031,Belgium,BE,Best Terrace,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-belgie-presenteert-23-editie-van-de-gids-2026,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_032,Belgium,BE,Restaurant Design,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-belgie-presenteert-23-editie-van-de-gids-2026,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_033,Belgium,BE,Italian Restaurant,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-belgie-presenteert-23-editie-van-de-gids-2026,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_034,Belgium,BE,Asian Restaurant,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-belgie-presenteert-23-editie-van-de-gids-2026,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_035,Belgium,BE,Dessert,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-belgie-presenteert-23-editie-van-de-gids-2026,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_036,Belgium,BE,Wine List,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-belgie-presenteert-23-editie-van-de-gids-2026,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_037,Belgium,BE,Lifetime Achievement,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-belgie-presenteert-23-editie-van-de-gids-2026,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_038,Belgium,BE,H!P of the Year,,,Martino (Gent),2026,https://www.gaultmillau.be/en/hip/martino-gent,2026-08-11,"unscored H!P category, not the main Guide"
gma_039,Switzerland,CH,Chef of the Year,Koch des Jahres,Jérémy Desbraux,,2026,https://www.gaultmillau.ch/starchefs/jeremy-desbraux-ist-koch-des-jahres-2026-866997,2026-08-11,
gma_040,Switzerland,CH,Discovery of the Year (multiple winners),Entdeckung des Jahres,,,2026,https://www.gaultmillau.ch,2026-08-11,"category confirmed, individual winners not captured this pass"
gma_041,Switzerland,CH,Riser of the Year,Aufsteiger des Jahres,,,2026,https://www.gaultmillau.ch,2026-08-11,category confirmed only
gma_042,Switzerland,CH,Pastry Chef of the Year,Patissier des Jahres,,,2026,https://www.gaultmillau.ch,2026-08-11,category confirmed only
gma_043,Switzerland,CH,Sommelier of the Year,Sommelier des Jahres,,,2026,https://www.gaultmillau.ch,2026-08-11,category confirmed only
gma_044,Switzerland,CH,Host of the Year,Gastgeberin des Jahres,,,2026,https://www.gaultmillau.ch,2026-08-11,category confirmed only
gma_045,Switzerland,CH,Green Chef,Green Chef,,,2026,https://www.gaultmillau.ch,2026-08-11,category confirmed only
gma_046,Switzerland,CH,Hotel of the Year,Hotel des Jahres,,,2026,https://www.gaultmillau.ch,2026-08-11,category confirmed only
gma_047,Germany,DE,Chef of the Year,Koch des Jahres,Benjamin Peifer,,2025,https://www.tageskarte.io,2026-08-11,"last live edition, secondary-sourced"
gma_048,Germany,DE,Sommelier of the Year,Sommelière des Jahres,Désirée Steinheuer,,2025,https://www.tageskarte.io,2026-08-11,secondary-sourced
gma_049,Germany,DE,Pastry Chef of the Year,Patissier des Jahres,Dennis Quetsch,,2025,https://www.tageskarte.io,2026-08-11,secondary-sourced
gma_050,Germany,DE,Riser of the Year,Aufsteigerin des Jahres,Isabelle Pering,,2025,https://www.tageskarte.io,2026-08-11,secondary-sourced
gma_051,Germany,DE,Gastronome of the Year,Gastronom des Jahres,Simon Tress,,2025,https://www.tageskarte.io,2026-08-11,secondary-sourced
gma_052,Austria,AT,Chef of the Year,Koch des Jahres,Vitus Winkler,,2026,https://www.gaultmillau.at/news/gaultmillau-guide-2026-alle-sieger-alle-hauben-alle-weine,2026-08-11,
gma_053,Austria,AT,Newcomer of the Year,Newcomerin des Jahres,Lisa Morent,,2026,https://www.gaultmillau.at/news/gaultmillau-guide-2026-alle-sieger-alle-hauben-alle-weine,2026-08-11,
gma_054,Austria,AT,Pastry Chef of the Year,Patissière des Jahres,Julia Knoll,,2026,https://www.gaultmillau.at/news/gaultmillau-guide-2026-alle-sieger-alle-hauben-alle-weine,2026-08-11,
gma_055,Austria,AT,Service Award,Service-Award,Gloria Conti,,2026,https://www.gaultmillau.at/news/gaultmillau-guide-2026-alle-sieger-alle-hauben-alle-weine,2026-08-11,
gma_056,Austria,AT,Lifetime Achievement,Lebenswerk,Karl Kolarik,,2026,https://www.gaultmillau.at/news/gaultmillau-guide-2026-alle-sieger-alle-hauben-alle-weine,2026-08-11,
gma_057,Austria,AT,Gastronomes of the Year,Gastronom:innen des Jahres,Familie Huth,,2026,https://www.gaultmillau.at/news/gaultmillau-guide-2026-alle-sieger-alle-hauben-alle-weine,2026-08-11,
gma_058,Austria,AT,Bartender of the Year,Barkeeper des Jahres,Marcus Philipp,,2026,https://www.gaultmillau.at/news/gaultmillau-guide-2026-alle-sieger-alle-hauben-alle-weine,2026-08-11,
gma_059,Austria,AT,Sommelier of the Year,Sommelier des Jahres,René Kollegger,,2026,https://www.gaultmillau.at/news/gaultmillau-guide-2026-alle-sieger-alle-hauben-alle-weine,2026-08-11,
gma_060,Austria,AT,Wine of the Year,Wein des Jahres,Georg Prieler (Blaufränkisch),,2026,https://www.gaultmillau.at/news/gaultmillau-guide-2026-alle-sieger-alle-hauben-alle-weine,2026-08-11,
gma_061,Austria,AT,Beer List of the Year,Bierkarte des Jahres,,,2026,https://www.gaultmillau.at/news/gaultmillau-guide-2026-alle-sieger-alle-hauben-alle-weine,2026-08-11,category confirmed only
gma_062,Austria,AT,Inn of the Year,Wirtshaus des Jahres,,,2026,https://www.gaultmillau.at/news/gaultmillau-guide-2026-alle-sieger-alle-hauben-alle-weine,2026-08-11,category confirmed only
gma_063,Austria,AT,Viennese Inn of the Year,Wiener Wirtshaus des Jahres,,,2026,https://www.gaultmillau.at/news/gaultmillau-guide-2026-alle-sieger-alle-hauben-alle-weine,2026-08-11,category confirmed only
