restaurant_code,year,rank,list_type
rest_0189,2014,12,top_50
rest_0189,2015,30,top_50
rest_0189,2016,35,top_50
rest_0189,2017,47,top_50
rest_0189,2018,66,extended_51_100
rest_0189,2019,97,extended_51_100
rest_0193,2014,78,extended_51_100
rest_0193,2015,52,extended_51_100
rest_0193,2016,34,top_50
rest_0193,2017,48,top_50
rest_0193,2018,37,top_50
rest_0193,2019,40,top_50
rest_0193,2021,31,top_50
rest_0193,2022,26,top_50
rest_0193,2023,40,top_50
rest_0193,2024,30,top_50
rest_0212,2013,85,extended_51_100
rest_0212,2022,98,extended_51_100
rest_0212,2023,77,extended_51_100
rest_0212,2024,88,extended_51_100
rest_0236,2005,25,top_50
rest_0236,2008,27,top_50
rest_0236,2009,16,top_50
rest_0236,2010,14,top_50
rest_0236,2011,47,top_50
rest_0236,2013,88,extended_51_100
rest_0237,2010,30,top_50
rest_0237,2011,23,top_50
rest_0237,2012,30,top_50
rest_0237,2013,42,top_50
rest_0237,2014,43,top_50
rest_0237,2015,48,top_50
rest_0237,2016,47,top_50
rest_0237,2017,72,extended_51_100
rest_0237,2018,47,top_50
rest_0237,2019,50,top_50
rest_0237,2021,59,extended_51_100
rest_0237,2022,40,top_50
rest_0237,2023,26,top_50
rest_0237,2024,47,top_50
rest_0266,2009,30,top_50
rest_0266,2010,21,top_50
rest_0266,2011,22,top_50
rest_0266,2012,11,top_50
rest_0266,2013,9,top_50
rest_0266,2014,16,top_50
rest_0266,2015,15,top_50
rest_0266,2016,9,top_50
rest_0266,2017,10,top_50
rest_0266,2018,14,top_50
rest_0266,2019,17,top_50
rest_0266,2021,12,top_50
rest_0266,2022,13,top_50
rest_0266,2023,18,top_50
rest_0266,2024,22,top_50
rest_0272,2014,96,extended_51_100
rest_0296,2008,44,top_50
rest_0296,2009,39,top_50
rest_0296,2011,50,top_50
rest_0296,2012,31,top_50
rest_0296,2013,44,top_50
rest_0296,2014,34,top_50
rest_0296,2015,13,top_50
rest_0296,2016,10,top_50
rest_0296,2017,6,top_50
rest_0296,2018,10,top_50
rest_0296,2019,3,top_50
rest_0296,2021,3,top_50
rest_0296,2022,6,top_50
rest_0296,2023,4,top_50
rest_0296,2024,2,top_50
rest_0297,2021,58,extended_51_100
rest_0297,2022,18,top_50
rest_0297,2023,5,top_50
rest_0297,2024,8,top_50
rest_0298,2013,66,extended_51_100
rest_0298,2014,17,top_50
rest_0298,2015,10,top_50
rest_0298,2016,23,top_50
rest_0298,2017,7,top_50
rest_0298,2018,5,top_50
rest_0298,2019,4,top_50
rest_0298,2023,17,top_50
rest_0298,2024,9,top_50
rest_0299,2022,82,extended_51_100
rest_0299,2023,37,top_50
rest_0299,2024,15,top_50
rest_0300,2022,77,extended_51_100
rest_0300,2023,10,top_50
rest_0300,2024,3,top_50
rest_0301,2022,100,extended_51_100
rest_0301,2023,90,extended_51_100
rest_0301,2024,20,top_50
rest_0302,2019,119,extended_51_100
rest_0302,2021,43,top_50
rest_0302,2022,33,top_50
rest_0302,2023,8,top_50
rest_0302,2024,6,top_50
rest_0303,2023,88,extended_51_100
rest_0303,2024,57,extended_51_100
rest_0304,2023,36,top_50
rest_0304,2024,18,top_50
rest_0305,2021,87,extended_51_100
rest_0305,2022,49,top_50
rest_0305,2023,35,top_50
rest_0305,2024,42,top_50
rest_0306,2019,78,extended_51_100
rest_0306,2021,15,top_50
rest_0306,2022,8,top_50
rest_0306,2023,7,top_50
rest_0306,2024,12,top_50
rest_0307,2021,63,extended_51_100
rest_0307,2022,39,top_50
rest_0307,2023,56,extended_51_100
rest_0307,2024,38,top_50
rest_0308,2016,84,extended_51_100
rest_0308,2017,43,top_50
rest_0308,2018,36,top_50
rest_0308,2019,51,extended_51_100
rest_0308,2021,29,top_50
rest_0308,2022,15,top_50
rest_0308,2023,16,top_50
rest_0308,2024,19,top_50
rest_0309,2024,52,extended_51_100
rest_0310,2009,20,top_50
rest_0310,2010,24,top_50
rest_0310,2011,12,top_50
rest_0310,2012,27,top_50
rest_0310,2013,20,top_50
rest_0310,2014,14,top_50
rest_0310,2015,8,top_50
rest_0310,2016,8,top_50
rest_0310,2017,18,top_50
rest_0310,2018,22,top_50
rest_0310,2019,22,top_50
rest_0310,2021,19,top_50
rest_0310,2022,45,top_50
rest_0310,2023,51,extended_51_100
rest_0310,2024,56,extended_51_100
rest_0311,2018,54,extended_51_100
rest_0311,2019,45,top_50
rest_0311,2021,40,top_50
rest_0311,2022,66,extended_51_100
rest_0311,2023,72,extended_51_100
rest_0311,2024,23,top_50
rest_0312,2018,77,extended_51_100
rest_0312,2019,30,top_50
rest_0312,2021,16,top_50
rest_0312,2022,16,top_50
rest_0312,2023,22,top_50
rest_0312,2024,28,top_50
rest_0313,2017,89,extended_51_100
rest_0313,2018,78,extended_51_100
rest_0313,2019,79,extended_51_100
rest_0313,2021,62,extended_51_100
rest_0313,2022,71,extended_51_100
rest_0313,2023,89,extended_51_100
rest_0313,2024,44,top_50
rest_0314,2021,72,extended_51_100
rest_0314,2022,65,extended_51_100
rest_0314,2023,15,top_50
rest_0314,2024,40,top_50
rest_0315,2006,31,top_50
rest_0315,2007,16,top_50
rest_0315,2008,36,top_50
rest_0315,2009,49,top_50
rest_0315,2010,20,top_50
rest_0315,2011,32,top_50
rest_0315,2012,32,top_50
rest_0315,2013,27,top_50
rest_0315,2014,46,top_50
rest_0315,2015,34,top_50
rest_0315,2016,39,top_50
rest_0315,2017,29,top_50
rest_0315,2018,23,top_50
rest_0315,2019,31,top_50
rest_0315,2021,26,top_50
rest_0315,2022,10,top_50
rest_0315,2023,41,top_50
rest_0315,2024,51,extended_51_100
rest_0316,2013,41,top_50
rest_0316,2014,39,top_50
rest_0316,2015,27,top_50
rest_0316,2016,17,top_50
rest_0316,2017,15,top_50
rest_0316,2018,16,top_50
rest_0316,2019,29,top_50
rest_0316,2021,18,top_50
rest_0316,2022,19,top_50
rest_0316,2023,42,top_50
rest_0316,2024,39,top_50
rest_0317,2018,95,extended_51_100
rest_0317,2019,82,extended_51_100
rest_0317,2023,82,extended_51_100
rest_0317,2024,59,extended_51_100
rest_0318,2023,74,extended_51_100
rest_0318,2024,74,extended_51_100
rest_0319,2017,99,extended_51_100
rest_0319,2018,59,extended_51_100
rest_0319,2019,63,extended_51_100
rest_0319,2021,39,top_50
rest_0319,2022,30,top_50
rest_0319,2023,27,top_50
rest_0319,2024,21,top_50
rest_0320,2022,87,extended_51_100
rest_0320,2023,46,top_50
rest_0320,2024,64,extended_51_100
rest_0321,2011,20,top_50
rest_0321,2012,20,top_50
rest_0321,2013,12,top_50
rest_0321,2014,23,top_50
rest_0321,2015,31,top_50
rest_0321,2018,65,extended_51_100
rest_0321,2019,21,top_50
rest_0321,2021,6,top_50
rest_0321,2022,25,top_50
rest_0321,2023,30,top_50
rest_0321,2024,35,top_50
rest_0322,2013,49,top_50
rest_0322,2014,52,extended_51_100
rest_0322,2015,57,extended_51_100
rest_0322,2016,50,top_50
rest_0322,2017,35,top_50
rest_0322,2018,40,top_50
rest_0322,2019,15,top_50
rest_0322,2021,24,top_50
rest_0322,2022,22,top_50
rest_0322,2023,24,top_50
rest_0322,2024,11,top_50
rest_0323,2017,94,extended_51_100
rest_0323,2019,105,extended_51_100
rest_0323,2023,91,extended_51_100
rest_0323,2024,54,extended_51_100
rest_0324,2015,91,extended_51_100
rest_0324,2016,78,extended_51_100
rest_0324,2017,85,extended_51_100
rest_0324,2018,75,extended_51_100
rest_0324,2019,42,top_50
rest_0324,2021,42,top_50
rest_0324,2022,46,top_50
rest_0324,2023,25,top_50
rest_0324,2024,31,top_50
rest_0325,2019,61,extended_51_100
rest_0325,2021,52,extended_51_100
rest_0325,2022,12,top_50
rest_0325,2023,34,top_50
rest_0325,2024,50,top_50
rest_0326,2019,93,extended_51_100
rest_0326,2021,76,extended_51_100
rest_0326,2022,41,top_50
rest_0326,2023,60,extended_51_100
rest_0326,2024,66,extended_51_100
rest_0327,2003,6,top_50
rest_0327,2004,25,top_50
rest_0327,2005,26,top_50
rest_0327,2006,44,top_50
rest_0327,2007,43,top_50
rest_0327,2008,46,top_50
rest_0327,2011,19,top_50
rest_0327,2012,16,top_50
rest_0327,2013,16,top_50
rest_0327,2014,25,top_50
rest_0327,2015,12,top_50
rest_0327,2016,19,top_50
rest_0327,2017,12,top_50
rest_0327,2018,8,top_50
rest_0327,2019,8,top_50
rest_0327,2021,23,top_50
rest_0327,2022,31,top_50
rest_0327,2023,62,extended_51_100
rest_0327,2024,45,top_50
rest_0328,2022,60,extended_51_100
rest_0328,2023,49,top_50
rest_0328,2024,34,top_50
rest_0329,2022,73,extended_51_100
rest_0329,2023,23,top_50
rest_0329,2024,17,top_50
rest_0331,2017,55,extended_51_100
rest_0331,2018,18,top_50
rest_0331,2019,9,top_50
rest_0331,2021,5,top_50
rest_0331,2022,3,top_50
rest_0331,2023,2,top_50
rest_0331,2024,1,top_50
rest_0333,2012,40,top_50
rest_0333,2013,26,top_50
rest_0333,2014,41,top_50
rest_0333,2015,39,top_50
rest_0333,2016,49,top_50
rest_0333,2017,62,extended_51_100
rest_0333,2018,68,extended_51_100
rest_0333,2019,81,extended_51_100
rest_0333,2021,74,extended_51_100
rest_0333,2022,42,top_50
rest_0333,2023,20,top_50
rest_0333,2024,14,top_50
rest_0335,2003,40,top_50
rest_0335,2004,22,top_50
rest_0335,2005,21,top_50
rest_0335,2006,9,top_50
rest_0335,2007,10,top_50
rest_0335,2008,8,top_50
rest_0335,2009,8,top_50
rest_0335,2010,9,top_50
rest_0335,2011,8,top_50
rest_0335,2012,8,top_50
rest_0335,2013,8,top_50
rest_0335,2014,8,top_50
rest_0335,2015,17,top_50
rest_0335,2016,21,top_50
rest_0335,2017,30,top_50
rest_0335,2018,31,top_50
rest_0335,2019,53,extended_51_100
rest_0335,2021,94,extended_51_100
rest_0336,2019,94,extended_51_100
rest_0336,2021,79,extended_51_100
rest_0336,2023,64,extended_51_100
rest_0336,2024,72,extended_51_100
rest_0337,2006,21,top_50
rest_0337,2007,11,top_50
rest_0337,2008,26,top_50
rest_0337,2009,5,top_50
rest_0337,2010,4,top_50
rest_0337,2011,2,top_50
rest_0337,2012,2,top_50
rest_0337,2013,1,top_50
rest_0337,2014,2,top_50
rest_0337,2015,1,top_50
rest_0337,2016,2,top_50
rest_0337,2017,3,top_50
rest_0337,2018,2,top_50
rest_0338,2014,26,top_50
rest_0338,2015,19,top_50
rest_0338,2016,16,top_50
rest_0338,2017,38,top_50
rest_0338,2018,43,top_50
rest_0338,2019,14,top_50
rest_0338,2021,49,top_50
rest_0338,2022,55,extended_51_100
rest_0338,2023,81,extended_51_100
rest_0339,2006,37,top_50
rest_0339,2007,27,top_50
rest_0339,2008,29,top_50
rest_0339,2009,33,top_50
rest_0339,2010,33,top_50
rest_0339,2011,29,top_50
rest_0339,2013,64,extended_51_100
rest_0339,2014,35,top_50
rest_0339,2015,61,extended_51_100
rest_0339,2016,59,extended_51_100
rest_0339,2017,77,extended_51_100
rest_0339,2018,76,extended_51_100
rest_0339,2019,87,extended_51_100
rest_0356,2006,10,top_50
rest_0356,2007,7,top_50
rest_0356,2008,4,top_50
rest_0356,2009,4,top_50
rest_0356,2010,5,top_50
rest_0356,2011,3,top_50
rest_0356,2012,3,top_50
rest_0356,2013,4,top_50
rest_0356,2014,6,top_50
rest_0356,2015,6,top_50
rest_0356,2016,7,top_50
rest_0356,2017,9,top_50
rest_0356,2018,9,top_50
rest_0356,2019,7,top_50
rest_0356,2021,14,top_50
rest_0356,2022,21,top_50
rest_0356,2023,31,top_50
rest_0356,2024,81,extended_51_100
rest_0375,2023,96,extended_51_100
rest_0380,2003,35,top_50
rest_0380,2004,23,top_50
rest_0380,2006,42,top_50
rest_0380,2007,31,top_50
rest_0380,2008,23,top_50
rest_0380,2009,48,top_50
rest_0380,2010,36,top_50
rest_0380,2011,38,top_50
rest_0380,2013,74,extended_51_100
rest_0380,2014,90,extended_51_100
rest_0381,2003,44,top_50
rest_0381,2005,48,top_50
rest_0381,2006,29,top_50
rest_0381,2007,41,top_50
rest_0381,2008,32,top_50
rest_0383,2023,85,extended_51_100
rest_0384,2003,38,top_50
rest_0424,2017,69,extended_51_100
rest_0424,2018,48,top_50
rest_0424,2019,38,top_50
rest_0424,2021,21,top_50
rest_0424,2022,34,top_50
rest_0424,2023,32,top_50
rest_0424,2024,48,top_50
rest_0430,2014,79,extended_51_100
rest_0430,2015,64,extended_51_100
rest_0430,2016,61,extended_51_100
rest_0430,2017,79,extended_51_100
rest_0430,2018,35,top_50
rest_0430,2019,55,extended_51_100
rest_0430,2021,47,top_50
rest_0435,2019,103,extended_51_100
rest_0441,2013,39,top_50
rest_0441,2014,67,extended_51_100
rest_0441,2015,62,extended_51_100
rest_0441,2016,86,extended_51_100
rest_0441,2017,60,extended_51_100
rest_0441,2018,93,extended_51_100
rest_0442,2011,37,top_50
rest_0442,2012,44,top_50
rest_0442,2013,36,top_50
rest_0442,2014,24,top_50
rest_0442,2015,38,top_50
rest_0442,2016,20,top_50
rest_0442,2017,24,top_50
rest_0442,2018,56,extended_51_100
rest_0442,2019,102,extended_51_100
rest_0442,2021,100,extended_51_100
rest_0443,2013,73,extended_51_100
rest_0443,2014,85,extended_51_100
rest_0449,2013,90,extended_51_100
rest_0449,2014,97,extended_51_100
rest_0454,2013,75,extended_51_100
rest_0454,2014,66,extended_51_100
rest_0454,2015,99,extended_51_100
rest_0454,2017,71,extended_51_100
rest_0454,2018,80,extended_51_100
rest_0454,2019,88,extended_51_100
rest_0473,2012,49,top_50
rest_0473,2013,45,top_50
rest_0473,2014,42,top_50
rest_0473,2015,51,extended_51_100
rest_0473,2016,28,top_50
rest_0473,2017,19,top_50
rest_0473,2018,19,top_50
rest_0473,2019,5,top_50
rest_0473,2021,2,top_50
rest_0473,2022,1,top_50
rest_0492,2015,86,extended_51_100
rest_0492,2016,82,extended_51_100
rest_0500,2013,95,extended_51_100
rest_0500,2016,92,extended_51_100
rest_0502,2021,75,extended_51_100
rest_0502,2022,59,extended_51_100
rest_0502,2023,83,extended_51_100
rest_0502,2024,93,extended_51_100
rest_0507,2010,48,top_50
rest_0507,2012,28,top_50
rest_0507,2013,22,top_50
rest_0507,2014,33,top_50
rest_0507,2015,29,top_50
rest_0507,2016,31,top_50
rest_0507,2017,52,extended_51_100
rest_0507,2018,41,top_50
rest_0507,2019,62,extended_51_100
rest_0507,2021,51,extended_51_100
rest_0508,2015,85,extended_51_100
rest_0508,2016,95,extended_51_100
rest_0508,2018,92,extended_51_100
rest_0508,2021,99,extended_51_100
rest_0532,2016,77,extended_51_100
rest_0532,2017,45,top_50
rest_0532,2018,17,top_50
rest_0532,2019,11,top_50
rest_0532,2021,11,top_50
rest_0532,2022,20,top_50
rest_0532,2023,21,top_50
rest_0532,2024,32,top_50
rest_0735,2002,3,top_50
rest_0735,2003,1,top_50
rest_0735,2004,1,top_50
rest_0735,2005,3,top_50
rest_0735,2006,4,top_50
rest_0735,2007,4,top_50
rest_0735,2008,5,top_50
rest_0735,2009,12,top_50
rest_0735,2010,32,top_50
rest_0735,2012,43,top_50
rest_0735,2013,47,top_50
rest_0735,2014,44,top_50
rest_0735,2015,50,top_50
rest_0735,2016,85,extended_51_100
rest_0735,2017,68,extended_51_100
rest_0735,2018,86,extended_51_100
rest_0736,2018,91,extended_51_100
rest_0736,2019,71,extended_51_100
rest_0736,2021,37,top_50
rest_0736,2022,50,top_50
rest_0736,2023,68,extended_51_100
rest_0736,2024,46,top_50
rest_0737,2016,89,extended_51_100
rest_0737,2017,67,extended_51_100
rest_0737,2018,53,extended_51_100
rest_0737,2019,47,top_50
rest_0737,2021,28,top_50
rest_0737,2022,97,extended_51_100
rest_0738,2017,83,extended_51_100
rest_0738,2019,35,top_50
rest_0738,2021,48,top_50
rest_0738,2022,72,extended_51_100
rest_0745,2024,90,extended_51_100
rest_0746,2014,69,extended_51_100
rest_0746,2015,56,extended_51_100
rest_0746,2016,27,top_50
rest_0746,2017,37,top_50
rest_0746,2018,46,top_50
rest_0746,2019,70,extended_51_100
rest_0746,2023,98,extended_51_100
rest_0762,2013,63,extended_51_100
rest_0762,2014,54,extended_51_100
rest_0762,2015,49,top_50
rest_0762,2016,48,top_50
rest_0762,2017,11,top_50
rest_0762,2018,12,top_50
rest_0762,2019,28,top_50
rest_0762,2022,74,extended_51_100
rest_0764,2016,81,extended_51_100
rest_0764,2018,69,extended_51_100
rest_0764,2019,77,extended_51_100
rest_0764,2021,55,extended_51_100
rest_0764,2022,63,extended_51_100
rest_0764,2023,61,extended_51_100
rest_0766,2003,4,top_50
rest_0766,2004,18,top_50
rest_0766,2005,9,top_50
rest_0766,2006,16,top_50
rest_0766,2007,18,top_50
rest_0766,2008,17,top_50
rest_0766,2009,19,top_50
rest_0766,2013,98,extended_51_100
rest_0766,2014,98,extended_51_100
rest_0772,2007,36,top_50
rest_0772,2008,21,top_50
rest_0772,2009,10,top_50
rest_0772,2010,7,top_50
rest_0772,2011,6,top_50
rest_0772,2012,7,top_50
rest_0772,2013,15,top_50
rest_0772,2014,9,top_50
rest_0772,2015,26,top_50
rest_0772,2016,15,top_50
rest_0772,2017,21,top_50
rest_0772,2018,34,top_50
rest_0772,2019,37,top_50
rest_0772,2021,70,extended_51_100
rest_0775,2022,91,extended_51_100
