item,entity_type,code,name,city,country,current_award,in_database,what_to_check,how_to_resolve,action_id,priority_bucket,status
W013,hotel,hotel_250,Widmann's Löwen,Königsbronn,Germany,1 Key,YES,Does google_place_id point at the hotel or at its restaurant/spa,Open the Place ID in Google Maps and confirm it is the accommodation,MA-048,2 before launch,Open
W014,hotel,hotel_287,L'Ovella Negra Mountain,Canillo,Andorra,1 Key,YES,Does google_place_id point at the hotel or at its restaurant/spa,Open the Place ID in Google Maps and confirm it is the accommodation,MA-048,2 before launch,Open
W015,hotel,hotel_315,Quadrille,Gdynia,Poland,2 Key,YES,Does google_place_id point at the hotel or at its restaurant/spa,Open the Place ID in Google Maps and confirm it is the accommodation,MA-048,2 before launch,Open
W016,hotel,hotel_480,Atrio Restaurante Hotel,Cáceres,Spain,3 Key,YES,Does google_place_id point at the hotel or at its restaurant/spa,Open the Place ID in Google Maps and confirm it is the accommodation,MA-048,2 before launch,Open
W017,hotel,hotel_537,ABaC Restaurant & Hotel,Barcelona,Spain,1 Key,YES,Does google_place_id point at the hotel or at its restaurant/spa,Open the Place ID in Google Maps and confirm it is the accommodation,MA-048,2 before launch,Open
W018,hotel,hotel_460,Terra - The Magic Place,Sarentino,Italy,1 Key,YES,Does google_place_id point at the hotel or at its restaurant/spa,Open the Place ID in Google Maps and confirm it is the accommodation,MA-048,2 before launch,Open
W019,hotel,,Villa Feltrinelli,Gargnano,Italy,unknown,CHECK,Not found under this name in the hotel table,"Confirm the correct hotel name, then verify its Place ID",MA-048,2 before launch,Resolved - non-Key property
W020,hotel,,Sofitel Frankfurt Opera,Frankfurt,Germany,1 Key (disputed),YES,Is it one Key or two,A screenshot shows 1; a MICHELIN German-language article shows 2,MA-016,2 before launch,Two Keys confirmed - address conflict raised (MA-068)
W021,pair,hotel_02 + rest_0021,Central Park / Central Park,Voorburg,Netherlands,1K / 1star,YES,Hotel and restaurant share one Google Place ID,"Confirm one Google record legitimately covers both, or obtain a separate one",MA-009 to MA-012,2 before launch,Ratified
W022,pair,hotel_118 + rest_0227,Söl’ring Hof / Söl'ring Hof,Sylt,Germany,2K / 2star,YES,Hotel and restaurant share one Google Place ID,"Confirm one Google record legitimately covers both, or obtain a separate one",MA-009 to MA-012,2 before launch,Ratified
W023,pair,hotel_13 + rest_0022,Château Neercanne / Chateau Neercanne,Maastricht,Netherlands,2K / 1star,YES,Hotel and restaurant share one Google Place ID,"Confirm one Google record legitimately covers both, or obtain a separate one",MA-009 to MA-012,2 before launch,Ratified
W024,pair,hotel_83 + rest_0258,7132 Hotel / 7132 Silver,Vals,Switzerland,2K / 2star,YES,Hotel and restaurant share one Google Place ID,"Confirm one Google record legitimately covers both, or obtain a separate one",MA-009 to MA-012,2 before launch,Ratified
W025,restaurant,,The Huaiyang Garden,Macau,Macau,2 stars,NO,Correct Google Place ID and address,The lookup returned a different establishment; supply the right record,MA-045,2 before launch,Open
W026,restaurant,,Ogata,Kyoto,Japan,2 stars,NO,Correct Google Place ID and address,The lookup returned a different establishment; supply the right record,MA-055,2 before launch,Open
W027,restaurant,,Kyo Seika,Kyoto,Japan,1 star,NO,Correct Google Place ID and address,The lookup returned a different establishment; supply the right record,MA-056,2 before launch,Open
W028,restaurant,,Kenya,Kyoto,Japan,1 star,NO,Correct Google Place ID and address,The lookup returned a different establishment; supply the right record,MA-056,2 before launch,Open
W029,restaurant,,Sassa,Tokyo,Japan,1 star,NO,Correct Google Place ID and address,The lookup returned a different establishment; supply the right record,MA-057,2 before launch,Open
W030,restaurant,,Hyakuyaku by Tokuyamazushi,Tokyo,Japan,1 star,NO,Correct Google Place ID and address,The lookup returned a different establishment; supply the right record,MA-057,2 before launch,Open
W031,restaurant,,Masa,New York,United States,2 stars,NO,Correct Google Place ID and address,The lookup returned a different establishment; supply the right record,MA-060,2 before launch,Open
W032,restaurant,,Chao Shang Chao,Beijing,China,unknown,NO,Place ID and coordinates,Google has minimal coverage in mainland China; use Amap or Baidu,MA-044,3 post-MVP,Open
W033,restaurant,,Blackswan,Beijing,China,unknown,NO,Place ID and coordinates,Google has minimal coverage in mainland China; use Amap or Baidu,MA-044,3 post-MVP,Open
W034,restaurant,,Lamdre,Beijing,China,unknown,NO,Place ID and coordinates,Google has minimal coverage in mainland China; use Amap or Baidu,MA-044,3 post-MVP,Open
W035,restaurant,,Jingji,Beijing,China,unknown,NO,Place ID and coordinates,Google has minimal coverage in mainland China; use Amap or Baidu,MA-044,3 post-MVP,Open
W036,restaurant,,Lu Shang Lu,Beijing,China,unknown,NO,Place ID and coordinates,Google has minimal coverage in mainland China; use Amap or Baidu,MA-044,3 post-MVP,Open
W037,restaurant,,Shanghai Cuisine,Beijing,China,unknown,NO,Place ID and coordinates,Google has minimal coverage in mainland China; use Amap or Baidu,MA-044,3 post-MVP,Open
W038,restaurant,,1 unidentified Italian two-star,,Italy,2 stars,NO,Which restaurant completes the Italian two-star tier,MICHELIN Italy 2026 holds 38; 37 are loaded,MA-051,2 before launch,Open
W039,restaurant,,JIANG NAN CHUN,Osaka,Japan,unverified,NO,Star count,Place data is complete but the Osaka starred listing was never supplied,MA-017,2 before launch,Open
W040,restaurant,,TEMPURA HANAGATAMI,Osaka,Japan,unverified,NO,Star count,Place data is complete but the Osaka starred listing was never supplied,MA-017,2 before launch,Open
W041,restaurant,,Pierre,Osaka,Japan,unverified,NO,Star count,Place data is complete but the Osaka starred listing was never supplied,MA-017,2 before launch,Open
W042,restaurant,,SIGNATURE,Tokyo,Japan,no star,NO,Should unstarred Guide entries be in the database at all,They appear on MICHELIN hotel cards but hold no star,MA-018,2 before launch,Rejected - out of scope
W043,restaurant,,Hei Fung Terrace,Tokyo,Japan,no star,NO,Should unstarred Guide entries be in the database at all,They appear on MICHELIN hotel cards but hold no star,MA-018,2 before launch,Rejected - out of scope
W044,restaurant,,TOKI,Kyoto,Japan,no star,NO,Should unstarred Guide entries be in the database at all,They appear on MICHELIN hotel cards but hold no star,MA-018,2 before launch,Rejected - out of scope
W045,restaurant,,Tempura Mizuki,Kyoto,Japan,no star,NO,Should unstarred Guide entries be in the database at all,They appear on MICHELIN hotel cards but hold no star,MA-018,2 before launch,Rejected - out of scope
W046,restaurant,,Benoit,Kyoto,Japan,no star,NO,Should unstarred Guide entries be in the database at all,They appear on MICHELIN hotel cards but hold no star,MA-018,2 before launch,Rejected - out of scope
W047,restaurant,rest_0067,Moments,Barcelona,Spain,1 stars,YES,Is it 1 star or 2,Historically 2; absent from the Barcelona two-star list for 2026,MA-019,2 before launch,Confirmed 1 star
W048,restaurant,rest_0621,LA TABLE de Joël Robuchon,Tokyo,Japan,1 stars,YES,Is it 1 star or 2,Stored at 1 per the roster; visitor reviews describe 2,MA-058,2 before launch,Confirmed 1 star
W049,restaurant,rest_0628,Tempura Ginya,Tokyo,Japan,1 stars,YES,Is it 1 star or 2,Stored at 1 per the roster; visitor reviews describe 2,MA-058,2 before launch,Confirmed 1 star
W050,restaurant,rest_0643,Tempura Maehira,Tokyo,Japan,1 stars,YES,Is it 1 star or 2,Stored at 1 per the roster; visitor reviews describe 2,MA-058,2 before launch,Confirmed 1 star
W051,restaurant,rest_0451,Lai Ching Heen,Hong Kong,Hong Kong,2 stars,YES,Does the Place ID point at the starred restaurant,"Returns as ""Lai Ching Heen (Yan Toh Heen)"", merging two identities",MA-046,2 before launch,Open
W052,restaurant,rest_0452,L'Atelier de Joël Robuchon,Hong Kong,Hong Kong,2 stars,YES,Does the Place ID point at the starred restaurant,"Returns as plain ""Joel Robuchon"" at The Landmark, where the group also runs Le Jardin",MA-046,2 before launch,Open
W053,restaurant,rest_0498,Kanamean Nishitomiya,Kyoto,Japan,1 stars,YES,Which dining room holds the star,Lookup returned the ryokan; the property runs Kaname and Nishitomiya,MA-047,2 before launch,Open
W054,restaurant,rest_0374,El Poblet,València,Spain,2 stars,YES,Has it been renamed,"Google returns ""Flores Raras Restaurante"" at the correct address",MA-050,3 post-MVP,Renamed Flores Raras
W055,restaurant,rest_0450,Cristal Room by Anne-Sophie Pic,Hong Kong,Hong Kong,2 stars,YES,property_name is blank,"Address gives The Landmark, a shopping complex, so located_in_hotel may be wrong",MA-062,1 before import,Resolved - not in a hotel
W056,restaurant,rest_0452,L'Atelier de Joël Robuchon,Hong Kong,Hong Kong,2 stars,YES,property_name is blank,Same Landmark address problem,MA-062,1 before import,Resolved - not in a hotel
W057,restaurant,rest_0766,Jean-Georges,New York,United States,2 stars,YES,property_name is blank,1 Central Park West is a hotel tower but no source names the property,MA-062,1 before import,Open
W058,restaurant,rest_0349,Voro,Canyamel,Spain,2 stars,YES,Confirm it still holds two stars in 2026,Restored from the prior-year list because the 2026 fragment had a gap,MA-052,2 before launch,Confirmed 2 stars
W059,restaurant,rest_0351,L'Escaleta,Cocentaina,Spain,2 stars,YES,Confirm it still holds two stars in 2026,Restored from the prior-year list because the 2026 fragment had a gap,MA-052,2 before launch,Confirmed 2 stars
W060,restaurant,rest_0352,Bo.TiC,Corçà,Spain,2 stars,YES,Confirm it still holds two stars in 2026,Restored from the prior-year list because the 2026 fragment had a gap,MA-052,2 before launch,Confirmed 2 stars
W061,restaurant,rest_0353,Venta Moncalvillo,Daroca de Rioja,Spain,2 stars,YES,Confirm it still holds two stars in 2026,Restored from the prior-year list because the 2026 fragment had a gap,MA-052,2 before launch,Confirmed 2 stars
W062,restaurant,rest_0354,Amelia by Paulo Airaudo,San Sebastian,Spain,2 stars,YES,Confirm it still holds two stars in 2026,Restored from the prior-year list because the 2026 fragment had a gap,MA-052,2 before launch,Confirmed 2 stars
W063,restaurant,rest_0377,Ambivium,Peñafiel,Spain,2 stars,YES,Confirm it still holds two stars in 2026,Restored from the prior-year list because the 2026 fragment had a gap,MA-052,2 before launch,Corrected to 1 star
W064,restaurant,rest_0158,La Paix,Anderlecht,Belgium,2 stars,QUARANTINED,Has it reopened at the Corinthia yet,Import as temporarily_closed now; on reopening add the link to hotel_153,MA-064,2 before launch,Open
W065,link,hotel_14 + rest_0016,TwentySeven -> Bougainville,Amsterdam,Netherlands,1 stars,YES,"Approve, reject or upgrade this Campus link",Matched on same street and postcode but a different house number,MA-021,2 before launch,Approved - Exact
W066,link,hotel_136 + rest_0271,Walch's Rote Wand Gourmet Hotel -> Rote Wand Chef's Table,Lech am Arlberg,Austria,2 stars,YES,"Approve, reject or upgrade this Campus link",Matched on same street and postcode but a different house number,MA-022,2 before launch,Approved - Exact
W067,link,hotel_49 + rest_0234,Grand Resort Bad Ragaz -> Memories,Bad Ragaz,Switzerland,3 stars,YES,"Approve, reject or upgrade this Campus link",Matched on same street and postcode but a different house number,MA-023,2 before launch,Approved - Exact
W068,link,hotel_49 + rest_0243,Grand Resort Bad Ragaz -> IGNIV by Andreas Caminada,Bad Ragaz,Switzerland,2 stars,YES,"Approve, reject or upgrade this Campus link",Matched on same street and postcode but a different house number,MA-024,2 before launch,Approved - Exact
