link_id,hotel_code,hotel_name,restaurant_code,restaurant_name,michelin_stars,link_confidence,evidence,hotel_address,restaurant_address,hotel_city,restaurant_city,country
link_0028,hotel_135,Burg Vital Resort,rest_0270,Griggeler Stuba,2,Exact,"street, number and postcode identical","Oberlech 568, 6764 Lech","Oberlech 568, 6764 Lech",Lech am Arlberg,Lech am Arlberg,Austria
link_0029,hotel_136,Walch's Rote Wand Gourmet Hotel,rest_0271,Rote Wand Chef's Table,2,Exact,"Rote Wand operator page 28 July 2026: guests meet at the Gourmet Hotel reception and are accompanied to the Schualhus; same street, different number (hotel 5, restaurant 6)","Zug 5, 6764 Lech","Zug 6, 6764 Lech",Lech am Arlberg,Lech am Arlberg,Austria
link_0030,hotel_144,Alpenresort Schwarz,rest_0273,Restaurant 141 by Joachim Jaud,2,Exact,"street, number and postcode identical; city values differ (Obermieming / Mieming)","Obermieming 141, 6414 Obermieming","Obermieming 141, 6414 Obermieming",Obermieming,Mieming,Austria
link_0031,hotel_49,Grand Resort Bad Ragaz,rest_0234,Memories,3,Exact,"Grand Resort Bad Ragaz operator CUISINE page 28 July 2026 lists Sven Wassmer Memories as a resort restaurant; same street and postcode, different number (hotel 20, restaurant 14)","Bernhard-Simonstrasse 20, 7310 Bad Ragaz","Bernhard-Simonstrasse 14, 7310 Bad Ragaz",Bad Ragaz,Bad Ragaz,Switzerland
link_0032,hotel_49,Grand Resort Bad Ragaz,rest_0243,IGNIV by Andreas Caminada,2,Exact,"Grand Resort Bad Ragaz operator CUISINE page 28 July 2026 lists IGNIV by Andreas Caminada as a resort restaurant; same street and postcode, different number (hotel 20, restaurant 14)","Bernhard-Simonstrasse 20, 7310 Bad Ragaz","Bernhard-Simonstrasse 14, 7310 Bad Ragaz",Bad Ragaz,Bad Ragaz,Switzerland
link_0033,hotel_50,Hotel Les Trois Rois,rest_0235,Cheval Blanc by Peter Knogl,3,Exact,"street, number and postcode identical; confirmed by MICHELIN restaurant listing (""in Hotel Les Trois Rois"")","Blumenrain 8, 4001 Basel","Blumenrain 8, 4001 Basel",Basel,Basel,Switzerland
link_0034,hotel_53,"The Woodward, Auberge Collection",rest_0247,L'Atelier Robuchon,2,Exact,"street, number and postcode identical; confirmed by MICHELIN restaurant listing (""in The Woodward, Auberge Collection"")","Quai Wilson 37, 1201 Genève","Quai Wilson 37, 1201 Genève",Geneva,Geneva,Switzerland
link_0035,hotel_58,The Chedi Andermatt,rest_0239,The Japanese Restaurant,2,Exact,"street, number and postcode identical; confirmed by MICHELIN restaurant listing (""in The Chedi Andermatt"")","Gotthardstrasse 4, 6490 Andermatt","Gotthardstrasse 4, 6490 Andermatt",Andermatt,Andermatt,Switzerland
link_0036,hotel_62,Hotel Eden Roc,rest_0241,La Brezza,2,Exact,"street, number and postcode identical","Via Albarelle 16, 6612 Ascona","Via Albarelle 16, 6612 Ascona",Ascona,Ascona,Switzerland
link_0037,hotel_73,Beau-Rivage Palace,rest_0249,Pic Beau-Rivage Palace,2,Exact,"street, number and postcode identical","Chem. de Beau-Rivage 21, 1006 Lausanne","Chem. de Beau-Rivage 21, 1006 Lausanne",Lausanne,Lausanne,Switzerland
link_0038,hotel_74,Lausanne Palace,rest_0248,La Table du Lausanne Palace,2,Exact,"street, number and postcode identical; confirmed by MICHELIN restaurant listing (""in Lausanne Palace"")","Rue du Grand-Chêne 7/9, 1003 Lausanne","Rue du Grand-Chêne 7-9, 1003 Lausanne",Lausanne,Lausanne,Switzerland
link_0039,hotel_76,"Mandarin Oriental Palace, Luzern",rest_0252,Colonnade,2,Exact,"street, number and postcode identical","Haldenstrasse 10, 6002 Luzern","Haldenstrasse 10, 6002 Luzern",Lucerne,Lucerne,Switzerland
link_0040,hotel_83,7132 Hotel,rest_0258,7132 Silver,2,Exact,"street, number and postcode identical; confirmed by MICHELIN restaurant listing (""in 7132 Hotel"")","Poststrasse 560, 7132 Vals","Poststrasse 560, 7132 Vals",Vals,Vals,Switzerland
link_0041,hotel_84,Park Hotel Vitznau,rest_0259,focus ATELIER,2,Exact,"street, number and postcode identical; confirmed by MICHELIN restaurant listing (""in Park Hotel Vitznau"")","Seestrasse 18, 6354 Vitznau","Seestrasse 18, 6354 Vitznau",Vitznau,Vitznau,Switzerland
link_0042,hotel_482,Monument Hotel,rest_0058,Lasarte,3,Exact,MICHELIN hotel card names Lasarte as the restaurant of Monument Hotel. Addresses differ only because the building is a corner property with two frontages: Passeig de Gracia 75 (hotel) and Carrer de Mallorca 259 (restaurant). Source attribution overrides the address match.,"Passeig de Gràcia 75, 08008 Barcelona","Carrer de Mallorca 259, 08008 Barcelona",Barcelona,Barcelona,Spain
link_0043,hotel_537,ABaC Restaurant & Hotel,rest_0002,ABAC,3,Exact,"street, number and city identical (Avinguda del Tibidabo 1); MICHELIN hotel card names ABaC","Avinguda del Tibidabo 1, 08022 Barcelona","Av. del Tibidabo 1, 08022 Barcelona",Barcelona,Barcelona,Spain
link_0044,hotel_541,Mandarin Oriental Barcelona,rest_0067,Moments,1,Exact,"same street and number (Passeig de Gracia 38); MICHELIN hotel card names Moments. NOTE: stored as 1 star — verify, see QA-087","Passeig de Gràcia 38-40, 08007 Barcelona","Passeig de Gràcia 38, 08007 Barcelona",Barcelona,Barcelona,Spain
link_0045,hotel_266,Grand Park Hotel Rovinj by Maistra Collection,rest_0426,Agli Amici Rovinj,2,Exact,"MICHELIN Croatia coverage states the restaurant is set in Grand Park Hotel Rovinj. Addresses differ because the complex fronts two streets: Smareglijeva ulica 1A for the hotel, Setaliste Vijeca Europe 1-2 for the restaurant on the marina promenade. Same two-frontage pattern as QA-084.","Smareglijeva ulica 1A, 52210 Rovinj","Setaliste Vijeca Europe 1-2, 52210 Rovinj",Rovinj,Rovinj,Croatia
link_0046,hotel_268,Platán Manor,rest_0427,Platán Gourmet,2,Exact,"street, number and city identical (Kastely ter 6, Tata)","Kastély tér 6, 2890 Tata","Kastély tér 6, 2890 Tata",Tata,Tata,Hungary
link_0047,hotel_291,Iniala Valletta,rest_0429,ION Harbour by Simon Rogan,2,Exact,"MICHELIN and Maltese coverage both place ION Harbour inside Iniala Harbour House. House numbers differ (10 vs 11 St. Barbara Bastion) because the property spans adjacent townhouses. NOTE: the matcher produced this link through a parser failure, not through a correct match - see QA-105.","10 St. Barbara Bastion, Valletta VLT 1961","11 St. Barbara Bastion, Valletta VLT 1961",Valletta,Valletta,Malta
link_0048,hotel_508,Akelarre,rest_0334,Akelaŕe,3,Exact,set on the restaurant row during import; consolidated into the join table 27 July 2026,"Padre Orkolaga Ibilbidea 56, 20008 Donostia-San Sebastián, Gipuzkoa","Padre Orkolaga Ibilbidea 56, 20008 Donostia-San Sebastián, Gipuzkoa",San Sebastian,San Sebastian,Spain
link_0049,hotel_545,Royal Hideaway Corales Suites,rest_0342,El Rincón de Juan Carlos,2,Exact,set on the restaurant row during import; consolidated into the join table 27 July 2026,"Avenida Virgen de Guadalupe 21, 38679 La Caleta, Santa Cruz de Tenerife","Avenida de la Virgen de Guadalupe 21, 38679 Adeje, Santa Cruz de Tenerife",Tenerife,Adeje,Spain
link_0050,hotel_535,Hotel Arts Barcelona,rest_0346,Enoteca Paco Pérez,2,Exact,set on the restaurant row during import; consolidated into the join table 27 July 2026,"Carrer de la Marina 19-21, 08005 Barcelona","Carrer de la Marina 19-21, 08005 Barcelona",Barcelona,Barcelona,Spain
link_0051,hotel_480,Atrio Restaurante Hotel,rest_0350,Atrio,3,Exact,set on the restaurant row during import; consolidated into the join table 27 July 2026,"Plaza San Mateo 1, 10003 Cáceres","Plaza San Mateo 1, 10003 Cáceres",Cáceres,Cáceres,Spain
link_0052,hotel_542,Hotel Maria Cristina,rest_0354,Amelia by Paulo Airaudo,2,Exact,set on the restaurant row during import; consolidated into the join table 27 July 2026,"República Argentina Kalea 4, 20004 Donostia-San Sebastián, Gipuzkoa","República Argentina Kalea 4, 20004 Donostia-San Sebastián, Gipuzkoa",San Sebastian,San Sebastian,Spain
link_0053,hotel_481,Pepe Vieira,rest_0369,Pepe Vieira,2,Exact,set on the restaurant row during import; consolidated into the join table 27 July 2026,"Camiño Serpe s/n, 36992 Raxó, Pontevedra","Camiño Serpe s/n, 36992 Raxó, Pontevedra",Pontevedra,Raxó,Spain
link_0054,hotel_440,Villa Crespi,rest_0378,Villa Crespi,3,Exact,set on the restaurant row during import; consolidated into the join table 27 July 2026,"Via Giuseppe Fava 18, 28016 Orta San Giulio NO","Via Giuseppe Fava 18, 28016 Orta San Giulio NO",Lake Orta,Orta San Giulio,Italy
link_0055,hotel_332,Therasia Resort Sea & Spa,rest_0388,I Tenerumi,2,Exact,set on the restaurant row during import; consolidated into the join table 27 July 2026,"Isola di Vulcano, 98050 Vulcanello ME","Isola di Vulcano, 98050 Vulcanello ME",Vulcano,Vulcano,Italy
link_0056,hotel_344,Capri Palace Jumeirah,rest_0396,L'Olivo,2,Exact,set on the restaurant row during import; consolidated into the join table 27 July 2026,"Via Capodimonte 14, 80071 Anacapri NA","Via Capodimonte 14, 80071 Anacapri NA",Capri,Anacapri,Italy
link_0057,hotel_321,Brunelleschi Hotel,rest_0402,Santa Elisabetta,2,Exact,set on the restaurant row during import; consolidated into the join table 27 July 2026,"Piazza Sant'Elisabetta 3, 50122 Firenze FI","Piazza Sant'Elisabetta 3, 50122 Firenze FI",Florence,Florence,Italy
link_0058,hotel_459,"The First Arte, Rome",rest_0417,Acquolina,2,Exact,set on the restaurant row during import; consolidated into the join table 27 July 2026,"Via del Vantaggio 14, 00186 Roma RM","Via del Vantaggio 14, 00186 Roma RM",Rome,Rome,Italy
link_0059,hotel_460,Terra - The Magic Place,rest_0419,Terra The Magic Place,2,Exact,set on the restaurant row during import; consolidated into the join table 27 July 2026,"Prati 21, 39058 Sarentino BZ","Prati 21, 39058 Sarentino BZ",Sarentino,Sarentino,Italy
link_0060,hotel_540,"Mandarin Oriental Ritz, Madrid",rest_0042,Deessa,2,Exact,Deessa sits inside the Mandarin Oriental Ritz; added with the MA-006 correction,"Plaza de la Lealtad 5, 28014 Madrid","Plaza de la Lealtad 5, 28014 Madrid",Madrid,Madrid,Spain
link_0061,hotel_644,The Ritz-Carlton Tokyo,rest_0494,Héritage by Kei Kobayashi,1,Exact,the MICHELIN hotel card names this restaurant and the MICHELIN restaurant card names this hotel,"Tokyo Midtown, 9-7-1 Akasaka, Minato City, Tokyo 107-6245","45F, The Ritz-Carlton Tokyo, 9-7-1 Akasaka, Minato City, Tokyo 107-6245",Tokyo,Tokyo,Japan
link_0062,hotel_647,Bvlgari Hotel Tokyo,rest_0495,Il Ristorante - Niko Romito,1,Exact,the MICHELIN hotel card names this restaurant and the MICHELIN restaurant card names this hotel,"2-2-1 Yaesu, Chuo City, Tokyo 104-0028","Bvlgari Hotel Tokyo, 2-2-1 Yaesu, Chuo City, Tokyo 104-0028",Tokyo,Tokyo,Japan
link_0063,hotel_658,Park Hyatt Kyoto,rest_0496,Sanso Kyoyamato,2,Exact,the MICHELIN hotel card names this restaurant and the MICHELIN restaurant card names this hotel,"360 Masuyacho, Higashiyama Ward, Kyoto 605-0826","359 Masuyacho, Higashiyama Ward, Kyoto 605-0826",Kyoto,Kyoto,Japan
link_0064,hotel_659,Four Seasons Hotel Tokyo at Otemachi,rest_0497,est,1,Exact,the MICHELIN hotel card names this restaurant and the MICHELIN restaurant card names this hotel,"1-2-1 Otemachi, Chiyoda City, Tokyo 100-0004","39F, Four Seasons Hotel Tokyo at Otemachi, 1-2-1 Otemachi, Chiyoda City, Tokyo 100-0004",Tokyo,Tokyo,Japan
link_0065,hotel_687,Kanamean Nishitomiya,rest_0498,Kanamean Nishitomiya,1,Exact,the MICHELIN hotel card names this restaurant and the MICHELIN restaurant card names this hotel,"562 Honeyanocho, Nakagyo Ward, Kyoto 604-8064","562 Honeyanocho, Nakagyo Ward, Kyoto 604-8064",Kyoto,Kyoto,Japan
link_0066,hotel_674,Hotel New Otani Tokyo - Executive House ZEN,rest_0499,Tour d'Argent Tokyo,1,Exact,the MICHELIN hotel card names this restaurant and the MICHELIN restaurant card names this hotel,"11-12F, 4-1 Kioicho, Chiyoda City, Tokyo 102-8578","Lobby Floor, Hotel New Otani, 4-1 Kioicho, Chiyoda City, Tokyo 102-8578",Tokyo,Tokyo,Japan
link_0067,hotel_59,Tschuggen Grand Hotel,rest_0240,La Brezza,3,Exact,MICHELIN card 28 July 2026 states the restaurant is part of the Tschuggen Grand Hotel; identical street address and telephone number,"Tschuggentorweg 1, 7050 Arosa","Tschuggentorweg 1, 7050 Arosa",Arosa,Arosa,Switzerland
link_0068,hotel_56,Carlton Hotel St. Moritz,rest_0254,Da Vittorio - St. Moritz,2,Exact,MICHELIN card 28 July 2026 names it the restaurant of the Carlton Hotel; identical street address and telephone number,"Via Johannes Badrutt 11, 7500 St. Moritz","Via Johannes Badrutt 11, 7500 St. Moritz",St. Moritz,St. Moritz,Switzerland
