restaurant_code,name,city,country,michelin_stars,property_name
rest_0055,Karel 5,Utrecht,Netherlands,1,
rest_0056,La Provence,Driebergen,Netherlands,1,
rest_0057,Lars Amsterdam,Amsterdam,Netherlands,1,
rest_0058,Lasarte,Barcelona,Spain,3,
rest_0059,Le Bernardin,New York,United States,3,
rest_0060,Le Gabriel - La Reserve Paris,Paris,France,3,
rest_0061,L'Erba del Re,Modena,Italy,1,
rest_0062,Lizz,Gouda,Netherlands,1,
rest_0063,Lutum,Wijk bij Duurstede,Netherlands,1,
rest_0064,Maeve,Utrecht,Netherlands,1,
rest_0065,Marrees,Weert,Netherlands,1,
rest_0066,ML,Haarlem,Netherlands,1,
rest_0067,Moments,Barcelona,Spain,1,
rest_0068,Monarh,Tilburg,Netherlands,1,
rest_0069,MOS,Amsterdam,Netherlands,1,
rest_0070,Nami,Cromvoirt,Netherlands,1,
rest_0071,Neolokal,Istanbul,Turkey,1,
rest_0072,Noor,Groningen,Netherlands,1,
rest_0073,Novaela,Delft,Netherlands,1,
rest_0074,O&O,Sint Willebrord,Netherlands,1,
rest_0075,Odille,Sint-Oedenrode,Netherlands,1,
rest_0076,One,Roermond,Netherlands,1,
rest_0077,Osteria del Viandante,Rubiera,Italy,1,
rest_0078,Osteria Francescana,Modena,Italy,3,
rest_0079,Parkheuvel,Rotterdam,Netherlands,2,
rest_0080,Per Se,New York,United States,3,
rest_0081,Perceel,Capelle aan de Ijssel,Netherlands,1,
rest_0082,Pieters Restaurant,Bergambacht,Netherlands,1,
rest_0083,Ratatouille Food & Wine,Haarlem,Netherlands,1,
rest_0084,Restaurant 1857,Roosendaal,Netherlands,1,
rest_0085,Restaurant 212,Amsterdam,Netherlands,2,
rest_0086,Restaurant Affect,Zwolle,Netherlands,1,
rest_0087,Restaurant Atelier,Gulpen,Netherlands,1,
rest_0088,Restaurant Calva,Nootdorp,Netherlands,1,
rest_0089,Restaurant de Burgemeester,Linschoten,Netherlands,1,
rest_0090,Restaurant kasteel Heemstede,Houten,Netherlands,1,
rest_0091,Restaurant Showw,Amsterdam,Netherlands,1,
rest_0092,Restaurant Wolfslaar,Breda,Netherlands,1,
rest_0093,Rijks,Amsterdam,Netherlands,1,
rest_0094,Rijnzicht,Doornenburg,Netherlands,1,
rest_0095,Ron Gastrobar,Amsterdam,Netherlands,1,
rest_0096,Sabero,Leende,Netherlands,1,
rest_0097,Sankai by Nagaya,Istanbul,Turkey,1,
rest_0098,Sense,Vught,Netherlands,1,
rest_0099,Sinne,Amsterdam,Netherlands,1,
rest_0100,Spetters,Breskens,Netherlands,1,
rest_0101,Studio,Maastricht,Netherlands,1,
rest_0102,Sushi Sho,New York,United States,3,
rest_0103,t Amsterdammertje,Loenen aan de Vecht,Netherlands,1,
rest_0104,t Ganzenest,Rijswijk,Netherlands,1,
rest_0105,t Raedthuys,Duiven,Netherlands,1,
rest_0106,Tante Koosje,Loenen aan de Vecht,Netherlands,1,
rest_0107,The Millen,Rotterdam,Netherlands,1,
rest_0108,The White Room by Jacob Jan Boerma,Amsterdam,Netherlands,1,
rest_0109,Tout a Fait,Maastricht,Netherlands,1,
rest_0110,Tribeca,Heeze,Netherlands,2,
rest_0111,Triptyque,Wateringen,Netherlands,1,
rest_0112,Turk Fatih Tutak,Istanbul,Turkey,2,
rest_0113,Versaen,Ravenstein,Netherlands,1,
rest_0114,Vinkeles,Amsterdam,Netherlands,2,
rest_0115,Vista,Willemstad,Netherlands,1,
rest_0116,Voltaire,Leersum,Netherlands,1,
rest_0117,Wiesen,Eindhoven,Netherlands,1,
rest_0118,Wils,Amsterdam,Netherlands,1,
rest_0119,Yamazato,Amsterdam,Netherlands,1,
rest_0120,Zarzo,Eindhoven,Netherlands,1,
rest_0121,Zeezout,Rotterdam,Netherlands,1,
rest_0122,Zoldering,Amsterdam,Netherlands,1,
rest_0123,Zout & Citroen,Oosterhout,Netherlands,1,
rest_0124,Les Amis,Singapore,Singapore,3,
rest_0125,Odette,Singapore,Singapore,3,
rest_0126,Zen,Singapore,Singapore,3,
rest_0127,FZN by Bjorn Frantzen,Dubai,United Arab Emirates,3,
rest_0128,Tresind Studio,Dubai,United Arab Emirates,3,
rest_0129,Talea by Antonio Guida,Abu Dhabi,United Arab Emirates,1,
rest_0130,Hakkasan,Abu Dhabi,United Arab Emirates,1,
rest_0131,Erth,Abu Dhabi,United Arab Emirates,1,
rest_0132,Quintonil,Mexico City,Mexico,2,
rest_0133,Pujol,Mexico City,Mexico,2,
rest_0134,Maido,Lima,Peru,0,
rest_0135,Kjolle,Lima,Peru,0,
rest_0136,Don Julio,Buenos Aires,Argentina,1,
rest_0137,The Chairman,Hong Kong,Hong Kong,1,
rest_0138,Boragó,Santiago,Chile,0,
rest_0139,Mérito,Lima,Peru,0,
rest_0140,Lasai,Rio de Janeiro,Brazil,2,
rest_0141,Mayta,Lima,Peru,0,
rest_0142,Vyn,Skillinge,Sweden,2,
rest_0143,Celele,Cartagena,Colombia,0,
rest_0144,Spectrum,Amsterdam,Netherlands,2,
rest_0146,'t Nonnetje,Harderwijk,Netherlands,2,
rest_0149,De Groene Lantaarn,Staphorst,Netherlands,2,
rest_0150,Olde Marckt,Aalten,Netherlands,1,
rest_0152,Zenith,Apeldoorn,Netherlands,1,
rest_0153,Joann,Enschede,Netherlands,1,
rest_0154,Zilte,Antwerp,Belgium,3,
rest_0155,Boury,Roeselare,Belgium,3,
rest_0156,Bozar Restaurant,Brussels,Belgium,2,
rest_0157,Le Chalet de la Forêt,Uccle,Belgium,2,
rest_0159,Hertog Jan at Botanic,Antwerp,Belgium,2,
rest_0160,Castor,Beveren-Leie,Belgium,2,
rest_0161,Nuance,Duffel,Belgium,2,
rest_0162,Vrijmoed,Ghent,Belgium,2,
rest_0163,La Durée,Izegem,Belgium,2,
rest_0164,Bartholomeus,Knokke-Heist,Belgium,2,
rest_0165,Hof van Cleve,Kruisem,Belgium,2,
rest_0166,Cuchara,Lommel,Belgium,2,
rest_0167,Ralf Berendsen,Neerharen,Belgium,2,
rest_0168,Slagmolen,Opglabbeek,Belgium,2,
rest_0169,De Jonkman,Bruges,Belgium,2,
rest_0170,Sir Kwinten,Sint-Kwintens-Lennik,Belgium,2,
rest_0171,Maison Colette,Tongerlo,Belgium,2,
rest_0172,L'Eau Vive,Arbre,Belgium,2,
rest_0173,d'Eugénie à Emilie,Baudour,Belgium,2,
rest_0174,La Table de Maxime,Our,Belgium,2,
rest_0175,Restaurant Bareiss,Baiersbronn,Germany,3,
rest_0176,Schwarzwaldstube,Baiersbronn,Germany,3,
rest_0177,Rutz,Berlin,Germany,3,
rest_0178,Waldhotel Sonnora,Dreis,Germany,3,
rest_0179,ES:SENZ,Grassau,Germany,3,
rest_0180,Restaurant Haerlin,Hamburg,Germany,3,
rest_0181,The Table Kevin Fehling,Hamburg,Germany,3,
rest_0182,JAN,Munich,Germany,3,
rest_0183,Tohru in der Schreiberei,Munich,Germany,3,
rest_0184,Victor's Fine Dining by Christian Bau,Perl,Germany,3,
rest_0185,schanz. restaurant.,Piesport,Germany,3,
rest_0186,Aqua,Wolfsburg,Germany,3,
rest_0187,AUGUST,Augsburg,Germany,2,
rest_0188,PUR,Berchtesgaden,Germany,2,
rest_0189,Vendôme,Bergisch Gladbach,Germany,2,
rest_0190,CODA Dessert Dining,Berlin,Germany,2,
rest_0191,FACIL,Berlin,Germany,2,
rest_0192,Horváth,Berlin,Germany,2,
rest_0193,Tim Raue,Berlin,Germany,2,
rest_0194,L.A. Jordan,Deidesheim,Germany,2,
rest_0195,Ösch Noir,Donaueschingen,Germany,2,
rest_0196,Lafleur,Frankfurt am Main,Germany,2,
rest_0197,Meierei Dirk Luther,Glücksburg,Germany,2,
rest_0198,100/200 Kitchen,Hamburg,Germany,2,
rest_0199,bianc,Hamburg,Germany,2,
rest_0200,Lakeside,Hamburg,Germany,2,
rest_0201,Jante,Hanover,Germany,2,
rest_0202,VOTUM,Hanover,Germany,2,
rest_0203,sein,Karlsruhe,Germany,2,
rest_0204,Gotthardt's by Yannick Noack,Koblenz,Germany,2,
rest_0205,Ox & Klee,Cologne,Germany,2,
rest_0206,Ophelia,Konstanz,Germany,2,
rest_0207,IKIGAI,Krün,Germany,2,
rest_0208,OPUS V,Mannheim,Germany,2,
rest_0209,Alois - Dallmayr Fine Dining,Munich,Germany,2,
rest_0210,Atelier,Munich,Germany,2,
rest_0211,KOMU,Munich,Germany,2,
rest_0212,Tantris,Munich,Germany,2,
rest_0213,Cœur D'Artichaut,Münster,Germany,2,
rest_0214,Steinheuers Restaurant,Bad Neuenahr-Ahrweiler,Germany,2,
rest_0215,Obendorfers Eisvogel,Neunburg vorm Wald,Germany,2,
rest_0216,Essigbrätlein,Nuremberg,Germany,2,
rest_0217,etz,Nuremberg,Germany,2,
rest_0218,Le Pavillon,Bad Peterstal-Griesbach,Germany,2,
rest_0219,Gourmetrestaurant Dichter,Rottach-Egern,Germany,2,
rest_0220,ammolite - The Lighthouse Restaurant,Rust,Germany,2,
rest_0221,Esplanade,Saarbrücken,Germany,2,
rest_0222,GästeHaus Klaus Erfort,Saarbrücken,Germany,2,
rest_0223,LOUIS restaurant,Saarlouis,Germany,2,
rest_0224,ATAMA by Martin Stopp,St. Ingbert,Germany,2,
rest_0225,Speisemeisterei,Stuttgart,Germany,2,
rest_0226,Hirschen,Sulzburg,Germany,2,
rest_0227,Söl'ring Hof,Sylt/Rantum,Germany,2,
rest_0228,Oswald's Gourmetstube,Teisnach,Germany,2,
rest_0229,Intense,Wachenheim an der Weinstraße,Germany,2,
rest_0230,Courtier,Wangels,Germany,2,
rest_0231,Pietsch,Wernigerode,Germany,2,
rest_0232,AURA by Alexander Herrmann & Tobias Bätz,Wirsberg,Germany,2,
rest_0233,Le Cerf,Zweiflingen,Germany,2,
rest_0234,Memories,Bad Ragaz,Switzerland,3,
rest_0235,Cheval Blanc by Peter Knogl,Basel,Switzerland,3,
rest_0236,Restaurant de l'Hôtel de Ville,Crissier,Switzerland,3,
rest_0237,Schloss Schauenstein,Fürstenau,Switzerland,3,
rest_0238,IGNIV by Andreas Caminada,Andermatt,Switzerland,2,
rest_0239,The Japanese Restaurant,Andermatt,Switzerland,2,
rest_0240,La Brezza,Arosa,Switzerland,3,
rest_0241,La Brezza,Ascona,Switzerland,2,
rest_0242,Ecco,Ascona,Switzerland,2,
rest_0243,IGNIV by Andreas Caminada,Bad Ragaz,Switzerland,2,
rest_0244,roots,Basel,Switzerland,2,
rest_0245,Stucki - Tanja Grandits,Basel,Switzerland,2,
rest_0246,Mammertsberg,Freidorf,Switzerland,2,
rest_0247,L'Atelier Robuchon,Geneva,Switzerland,2,
rest_0248,La Table du Lausanne Palace,Lausanne,Switzerland,2,
rest_0249,Pic Beau-Rivage Palace,Lausanne,Switzerland,2,
rest_0250,Maison Wenger,Le Noirmont,Switzerland,2,
rest_0251,Skin's - the restaurant,Lenzburg,Switzerland,2,
rest_0252,Colonnade,Lucerne,Switzerland,2,
rest_0253,Einstein Gourmet,St. Gallen,Switzerland,2,
rest_0254,Da Vittorio - St. Moritz,St. Moritz,Switzerland,2,
rest_0255,Ecco St. Moritz,St. Moritz,Switzerland,2,
rest_0256,Gilles Varone,Savièse,Switzerland,2,
rest_0257,Magdalena,Schwyz,Switzerland,2,
rest_0258,7132 Silver,Vals,Switzerland,2,
rest_0259,focus ATELIER,Vitznau,Switzerland,2,
rest_0260,Taverne zum Schäfli,Wigoltingen,Switzerland,2,
rest_0261,IGNIV Zürich by Andreas Caminada,Zurich,Switzerland,2,
rest_0262,The Counter,Zurich,Switzerland,2,
rest_0263,The Restaurant,Zurich,Switzerland,2,
rest_0264,Widder Restaurant,Zurich,Switzerland,2,
rest_0265,Restaurant Amador,Vienna,Austria,3,
rest_0266,Steirereck im Stadtpark,Vienna,Austria,3,
rest_0267,Döllerer,Golling an der Salzach,Austria,2,
rest_0268,Schwarzer Adler,Hall in Tirol,Austria,2,
rest_0269,Stüva,Ischgl,Austria,2,
rest_0270,Griggeler Stuba,Lech am Arlberg,Austria,2,
rest_0271,Rote Wand Chef's Table,Lech am Arlberg,Austria,2,
rest_0272,Landhaus Bacher,Mautern an der Donau,Austria,2,
rest_0273,Restaurant 141 by Joachim Jaud,Mieming,Austria,2,
rest_0274,Ois,Neufelden,Austria,2,
rest_0275,Ikarus,Salzburg,Austria,2,
rest_0276,SENNS.Restaurant,Salzburg,Austria,2,
rest_0277,Gourmetrestaurant Tannenhof,St. Anton am Arlberg,Austria,2,
rest_0278,Kräuterreich by Vitus Winkler,St. Veit im Pongau,Austria,2,
rest_0279,Taubenkobel,Schützen am Gebirge,Austria,2,
rest_0280,Obauer,Werfen,Austria,2,
rest_0281,Doubek,Vienna,Austria,2,
rest_0282,Konstantin Filippou,Vienna,Austria,2,
rest_0283,Mraz & Sohn,Vienna,Austria,2,
rest_0284,Silvio Nickol Gourmet Restaurant,Vienna,Austria,2,
rest_0285,Ma langue sourit,Moutfort,Luxembourg,2,
rest_0286,Louis Linster,Frisange,Luxembourg,2,
rest_0287,Guillou Campagne,Schouweiler,Luxembourg,1,
rest_0288,Fani,Roeser,Luxembourg,1,
rest_0289,Mosconi,Luxembourg City,Luxembourg,1,
rest_0290,Ryôdô,Luxembourg City,Luxembourg,1,
rest_0291,La Villa de Camille et Julien,Luxembourg City,Luxembourg,1,
rest_0292,Apdikt,Steinfort,Luxembourg,1,
rest_0293,Fields by René Mathieu,Findel,Luxembourg,1,
rest_0294,Archibald De Prince,Lauterborn,Luxembourg,1,
rest_0295,Grünewald Chef's Table,Luxembourg City,Luxembourg,1,
rest_0296,Asador Etxebarri,Atxondo,Spain,1,
rest_0297,Alchemist,Copenhagen,Denmark,2,
rest_0298,Gaggan,Bangkok,Thailand,2,
rest_0299,Sézanne,Tokyo,Japan,3,
rest_0300,Table by Bruno Verjus,Paris,France,2,
rest_0301,Wing,Hong Kong,Hong Kong,0,
rest_0302,Atomix,New York,United States,2,
rest_0303,Potong,Bangkok,Thailand,1,
rest_0304,Plénitude,Paris,France,3,
rest_0305,Ikoyi,London,United Kingdom,2,
rest_0306,Lido 84,Gardone Riviera,Italy,1,
rest_0307,Sorn,Bangkok,Thailand,3,
rest_0308,Reale,Castel di Sangro,Italy,3,
rest_0309,Atelier Moessmer Norbert Niederkofler,Brunico,Italy,3,
rest_0310,Narisawa,Tokyo,Japan,2,
rest_0311,Sühring,Bangkok,Thailand,2,
rest_0312,Elkano,Getaria,Spain,1,
rest_0313,Mingles,Seoul,South Korea,3,
rest_0314,Le Du,Bangkok,Thailand,1,
rest_0315,Le Calandre,Rubano,Italy,3,
rest_0316,Piazza Duomo,Alba,Italy,3,
rest_0317,Enigma,Barcelona,Spain,2,
rest_0318,Nusara,Bangkok,Thailand,1,
rest_0319,Florilège,Tokyo,Japan,2,
rest_0320,Orfali Bros,Dubai,United Arab Emirates,1,
rest_0321,Frantzén,Stockholm,Sweden,3,
rest_0322,Septime,Paris,France,1,
rest_0323,Kadeau,Copenhagen,Denmark,3,
rest_0324,Belcanto,Lisbon,Portugal,2,
rest_0325,Uliassi,Senigallia,Italy,3,
rest_0326,La Cime,Osaka,Japan,2,
rest_0327,Arpège,Paris,France,3,
rest_0328,Rosetta,Mexico City,Mexico,1,
rest_0329,Kol,London,United Kingdom,1,
rest_0330,Cocina Hermanos Torres,Barcelona,Spain,3,
rest_0331,Disfrutar,Barcelona,Spain,3,
rest_0332,Noor,Córdoba,Spain,3,
rest_0333,Quique Dacosta,Dénia,Spain,3,
rest_0334,Akelaŕe,San Sebastian,Spain,3,
rest_0335,Arzak,San Sebastian,Spain,3,
rest_0336,Aponiente,El Puerto de Santa María,Spain,3,
rest_0337,El Celler de Can Roca,Girona,Spain,3,
rest_0338,Azurmendi,Larrabetzu,Spain,3,
rest_0339,Martín Berasategui,Lasarte-Oria,Spain,3,
rest_0340,Cenador de Amós,Villaverde de Pontones,Spain,3,
rest_0341,Casa Marcial,La Salgar,Spain,3,
rest_0342,El Rincón de Juan Carlos,Adeje,Spain,2,
rest_0343,Maralba,Almansa,Spain,2,
rest_0344,Aleia,Barcelona,Spain,2,
rest_0345,Cinc Sentits,Barcelona,Spain,2,
rest_0346,Enoteca Paco Pérez,Barcelona,Spain,2,
rest_0347,Mont Bar,Barcelona,Spain,2,
rest_0348,La Boscana,Bellvís,Spain,2,
rest_0349,Voro,Canyamel,Spain,2,
rest_0350,Atrio,Cáceres,Spain,3,
rest_0351,L'Escaleta,Cocentaina,Spain,2,
rest_0352,Bo.TiC,Corçà,Spain,2,
rest_0353,Venta Moncalvillo,Daroca de Rioja,Spain,2,
rest_0354,Amelia by Paulo Airaudo,San Sebastian,Spain,2,
rest_0355,Cabaña Buenavista,El Palmar,Spain,2,
rest_0356,Mugaritz,Errenteria,Spain,2,
rest_0357,El Portal de Echaurren,Ezcaray,Spain,2,
rest_0358,M.B,Guía de Isora,Spain,2,
rest_0359,LÚ Cocina y Alma,Jerez de la Frontera,Spain,2,
rest_0360,Miramar,Llançà,Spain,2,
rest_0361,Coque,Madrid,Spain,2,
rest_0362,DSTAgE,Madrid,Spain,2,
rest_0363,Paco Roncero,Madrid,Spain,2,
rest_0364,Ramón Freixa Atelier,Madrid,Spain,2,
rest_0365,Smoked Room,Madrid,Spain,2,
rest_0366,Skina,Marbella,Spain,2,
rest_0367,Culler de Pau,O Grove,Spain,2,
rest_0368,Les Cols,Olot,Spain,2,
rest_0369,Pepe Vieira,Raxó,Spain,2,
rest_0370,Bardal,Ronda,Spain,2,
rest_0371,Retiro da Costiña,Santa Comba,Spain,2,
rest_0372,Iván Cerdeño,Toledo,Spain,2,
rest_0373,El Molino de Urdániz,Urdaitz,Spain,2,
rest_0374,Flores Raras,València,Spain,2,
rest_0375,Ricard Camarena,València,Spain,2,
rest_0376,BonAmb,Xàbia,Spain,2,
rest_0377,Ambivium,Peñafiel,Spain,1,
rest_0378,Villa Crespi,Orta San Giulio,Italy,3,
rest_0379,Da Vittorio,Brusaporto,Italy,3,
rest_0380,Dal Pescatore,Canneto sull'Oglio,Italy,3,
rest_0381,Enoteca Pinchiorri,Florence,Italy,3,
rest_0382,La Pergola,Rome,Italy,3,
rest_0383,Enrico Bartolini al MUDEC,Milan,Italy,3,
rest_0384,Quattro Passi,Nerano,Italy,3,
rest_0385,Casa Perbellini 12 Apostoli,Verona,Italy,3,
rest_0386,La Rei Natura by Michelangelo Mammoliti,Serralunga d'Alba,Italy,3,
rest_0387,Famiglia Rana,Oppeano,Italy,2,
rest_0388,I Tenerumi,Vulcano,Italy,2,
rest_0389,Villa Elena,Bergamo,Italy,2,
rest_0390,Campo del Drago,Montalcino,Italy,2,
rest_0391,George Restaurant,Naples,Italy,2,
rest_0392,Piazzetta Milù,Castellammare di Stabia,Italy,2,
rest_0393,Andrea Aprea,Milan,Italy,2,
rest_0394,Tre Olivi,Paestum,Italy,2,
rest_0395,Krèsios,Telese Terme,Italy,2,
rest_0396,L'Olivo,Anacapri,Italy,2,
rest_0397,Taverna Estia,Brusciano,Italy,2,
rest_0398,Antica Corona Reale,Cervere,Italy,2,
rest_0399,Locanda Sant'Uffizio Enrico Bartolini,Cioccaro,Italy,2,
rest_0400,Arnolfo,Colle di Val d'Elsa,Italy,2,
rest_0401,D'O,Cornaredo,Italy,2,
rest_0402,Santa Elisabetta,Florence,Italy,2,
rest_0403,Villa Feltrinelli,Gargnano,Italy,2,Grand Hotel a Villa Feltrinelli
rest_0404,Agli Amici,Godia,Italy,2,
rest_0405,San Domenico,Imola,Italy,2,
rest_0406,daní maison,Ischia,Italy,2,
rest_0407,La Madia,Licata,Italy,2,
rest_0408,Magnolia,Longiano,Italy,2,
rest_0409,La Peca,Lonigo,Italy,2,
rest_0410,Antica Osteria Cera,Lughetto,Italy,2,
rest_0411,Madonnina del Pescatore,Marzocca,Italy,2,
rest_0412,Verso Capitaneo,Milan,Italy,2,
rest_0413,Seta by Antonio Guida,Milan,Italy,2,
rest_0414,Caino,Montemerano,Italy,2,
rest_0415,Duomo,Ragusa,Italy,2,
rest_0416,Il Pagliaccio,Rome,Italy,2,
rest_0417,Acquolina,Rome,Italy,2,
rest_0418,Enoteca La Torre,Rome,Italy,2,
rest_0419,Terra The Magic Place,Sarentino,Italy,2,
rest_0420,St. George by Heinz Beck,Taormina,Italy,2,
rest_0421,Castel fine dining,Tirolo,Italy,2,
rest_0422,Harry's Piccolo,Trieste,Italy,2,
rest_0423,Glam Enrico Bartolini,Venice,Italy,2,
rest_0424,Hiša Franko,Kobarid,Slovenia,3,
rest_0425,Milka,Kranjska Gora,Slovenia,2,
rest_0426,Agli Amici Rovinj,Rovinj,Croatia,2,
rest_0427,Platán Gourmet,Tata,Hungary,2,
rest_0428,Stand,Budapest,Hungary,2,
rest_0429,ION Harbour by Simon Rogan,Valletta,Malta,2,
rest_0430,Maaemo,Oslo,Norway,3,
rest_0431,RE-NAA,Stavanger,Norway,3,
rest_0432,Kontrast,Oslo,Norway,2,
rest_0433,Palace,Helsinki,Finland,2,
rest_0434,Robuchon au Dôme,Macau,Macau,3,Grand Lisboa
rest_0435,Jade Dragon,Macau,Macau,3,City of Dreams
rest_0436,Wing Lei,Macau,Macau,2,Wynn Macau
rest_0437,Alain Ducasse at Morpheus,Macau,Macau,2,Morpheus
rest_0438,The Eight,Macau,Macau,2,Grand Lisboa
rest_0439,Feng Wei Ju,Macau,Macau,2,StarWorld Hotel
rest_0440,Chef Tam's Seasons,Macau,Macau,2,Wynn Palace
rest_0441,8 1/2 Otto e Mezzo - Bombana,Hong Kong,Hong Kong,3,
rest_0442,Amber,Hong Kong,Hong Kong,3,The Landmark Mandarin Oriental
rest_0443,Caprice,Hong Kong,Hong Kong,3,Four Seasons Hotel Hong Kong
rest_0444,Forum,Hong Kong,Hong Kong,3,
rest_0445,Sushi Shikon,Hong Kong,Hong Kong,3,The Landmark Mandarin Oriental
rest_0446,Ta Vie,Hong Kong,Hong Kong,3,The Pottinger Hong Kong
rest_0447,T'ang Court,Hong Kong,Hong Kong,3,The Langham Hong Kong
rest_0448,Arbor,Hong Kong,Hong Kong,2,
rest_0449,Bo Innovation,Hong Kong,Hong Kong,2,
rest_0450,Cristal Room by Anne-Sophie Pic,Hong Kong,Hong Kong,2,
rest_0451,Lai Ching Heen,Hong Kong,Hong Kong,2,Regent Hong Kong
rest_0452,L'Atelier de Joël Robuchon,Hong Kong,Hong Kong,2,
rest_0453,L'Envol,Hong Kong,Hong Kong,2,The St. Regis Hong Kong
rest_0454,Lung King Heen,Hong Kong,Hong Kong,2,Four Seasons Hotel Hong Kong
rest_0455,Noi by Paulo Airaudo,Hong Kong,Hong Kong,2,Four Seasons Hotel Hong Kong
rest_0456,Octavium,Hong Kong,Hong Kong,2,
rest_0457,Rùn,Hong Kong,Hong Kong,2,The St. Regis Hong Kong
rest_0458,Tate,Hong Kong,Hong Kong,2,
rest_0459,Tin Lung Heen,Hong Kong,Hong Kong,2,The Ritz-Carlton Hong Kong
rest_0460,Ying Jee Club,Hong Kong,Hong Kong,2,
rest_0461,Le Palais,Taipei,Taiwan,3,Palais de Chine Hotel
rest_0462,Taïrroir,Taipei,Taiwan,3,
rest_0463,JL Studio,Taichung,Taiwan,3,
rest_0464,A,Taipei,Taiwan,2,
rest_0465,Eika,Taipei,Taiwan,2,
rest_0466,L'Atelier de Joël Robuchon,Taipei,Taiwan,2,
rest_0467,logy,Taipei,Taiwan,2,
rest_0468,Molino de Urdániz,Taipei,Taiwan,2,
rest_0469,Mudan,Taipei,Taiwan,2,
rest_0470,Yu Kapo,Taipei,Taiwan,2,
rest_0471,Xin Rong Ji (Xinyuan South Road),Beijing,China,3,
rest_0472,King's Joy,Beijing,China,2,
rest_0473,Geranium,Copenhagen,Denmark,3,
rest_0474,Jordnær,Gentofte,Denmark,3,
rest_0475,a|o|c,Copenhagen,Denmark,2,
rest_0476,Koan,Copenhagen,Denmark,2,
rest_0477,Kong Hans Kælder,Copenhagen,Denmark,2,
rest_0478,Frederikshøj,Aarhus,Denmark,2,
rest_0479,Henne Kirkeby Kro,Henne,Denmark,2,Henne Kirkeby Kro
rest_0480,PAZ,Tórshavn,Faroe Islands,2,
rest_0481,AIRA,Stockholm,Sweden,2,
rest_0482,Aloë,Stockholm,Sweden,2,
rest_0483,Signum,Mölnlycke,Sweden,2,
rest_0484,Vollmers,Malmö,Sweden,2,
rest_0485,Kikunoi Honten,Kyoto,Japan,3,
rest_0486,Hyotei,Kyoto,Japan,3,
rest_0487,Miyamasou,Kyoto,Japan,3,Miyamasou
rest_0488,Mizai,Kyoto,Japan,3,
