hotel_code,candidate_id,name,city,country,address,latitude,longitude,google_place_id,michelin_url,website_url,booking_url,michelin_keys,key_status,key_evidence,inclusion_reason
hotel_698,p1_11,Six Senses Ibiza,Ibiza,Spain,"Carrer de Camí de sa Torre, 71, Portinatx, Sant Joan de Labritja, Eivissa, Spain",39.1108344,1.5078208,,https://guide.michelin.com/us/en/hotels-stays/ibiza/six-senses-ibiza-12071,https://www.sixsenses.com/en/hotels-resorts/europe/spain/ibiza/,,,unknown,"Guide-listed, tier not recoverable after dedicated research",worlds_50_best
hotel_699,p1_12,The Tokyo Edition Toranomon,Tokyo,Japan,"4-1-1 Toranomon, Minato City, Tokyo, Japan",35.6653627,139.7451346,,https://guide.michelin.com/us/en/hotels-stays/tokyo/the-tokyo-edition-toranomon-11656,https://www.editionhotels.com/tokyo-toranomon/,,,unknown,"Guide-listed; not named in Michelin's own Tokyo Key roundup (non-exhaustive), not proof of absence",worlds_50_best
hotel_700,p2_001,Capella Sydney,Sydney,Australia,"24 Loftus Street, Sydney, NSW, Australia",-33.863648,151.2106852,,https://guide.michelin.com/us/en/hotels-stays/sydney/capella-sydney-13134,https://capellahotels.com/en/capella-sydney,,1,confirmed,Timeout Australia: 'Capella Sydney' listed under One Michelin Key,michelin_key_and_worlds_50_best
hotel_701,p2_002,Southern Ocean Lodge,Kangaroo Island,Australia,"390 Hanson Bay Road, Kingscote, Kangaroo Island, SA, Australia",-36.0178048,136.8330219,,https://guide.michelin.com/en/hotels-stays/kangaroo-island/southern-ocean-lodge-6254,https://southernoceanlodge.com.au/,,2,confirmed,Timeout Australia: 'Southern Ocean Lodge' listed under Two Michelin Keys,michelin_key_and_worlds_50_best
hotel_702,p2_003,The Calile,Brisbane,Australia,"48 James Street, Fortitude Valley, QLD, Australia",-27.4570511,153.0403122,,https://guide.michelin.com/en/hotels-stays/brisbane/the-calile-hotel-brisbane-121812-11776,https://thecalilehotel.com/,,1,confirmed,guide.michelin.com: 'awarded One MICHELIN Key for A very special stay',michelin_key_and_worlds_50_best
hotel_703,p2_004,The Tasman,Hobart,Australia,"12 Murray Street, Hobart, TAS, Australia",-42.8848233,147.3299878,,https://guide.michelin.com/us/en/hotels-stays/hobart/the-tasman-a-luxury-collection-hotel-hobart-12558,https://www.marriott.com/en-us/hotels/hbalc-the-tasman-a-luxury-collection-hotel-hobart/overview/,,1,confirmed,"Timeout Australia: 'The Tasman Hotel, Hobart' listed under One Michelin Key",michelin_key_and_worlds_50_best
hotel_704,p2_005,Mandarin Oriental Qianmen,Beijing,China,"No.1 Caochang Alley (Hutong) 10, Dongcheng District, Beijing, China",39.8946125,116.4034963,,https://guide.michelin.com/us/en/hotels-stays/dongcheng/mandarin-oriental-qianmen-14975,https://www.mandarinoriental.com/en/beijing/qianmen,,,unknown,China confirmed first-ever Keys 2025 (64 hotels); this property not individually confirmed with a tier,worlds_50_best
hotel_705,p2_006,Four Seasons Tamarindo,La Manzanilla,Mexico,"Km 7.5, Carretera Federal 200, La Manzanilla, La Huerta, Jalisco, Mexico",19.2559111,-104.8055278,,,https://www.fourseasons.com/tamarindo/,,,unknown,"No guide.michelin.com listing or Key mention found; country corrected Costa Rica->Mexico, see research_batch_A file",worlds_50_best
hotel_706,p2_007,Kokomo Private Island,Yaukuve Levu Island,Fiji,,,,,,https://www.kokomoislandfiji.com/,,,unknown,No guide.michelin.com listing or Key mention found despite Fiji having Oceania-rollout Key coverage,worlds_50_best
hotel_707,p2_008,Cheval Blanc Paris,Paris,France,"8 Quai du Louvre, Paris",48.858857,2.342179,,https://guide.michelin.com/is/en/hotels-stays/paris/cheval-blanc-paris-dior-spa-cheval-blanc-paris-12286,https://www.chevalblanc.com/en/maison/paris/,,3,confirmed,France Key article: 'Paris: Cheval Blanc Paris' under THE THREE-KEY HOTELS,michelin_key_and_worlds_50_best
hotel_708,p2_009,Hôtel de Crillon,Paris,France,"10 Place de la Concorde, Paris",48.867622,2.321367,,https://guide.michelin.com/hu/en/hotels-stays/paris/hotel-de-crillon-a-rosewood-hotel-2951,https://www.rosewoodhotels.com/en/hotel-de-crillon,,2,confirmed,France Key article: 'Paris: Crillon' under THE TWO-KEY HOTELS,michelin_key_and_worlds_50_best
hotel_709,p2_010,Hôtel du Cap-Eden-Roc,Antibes,France,"165 Boulevard John Fitzgerald Kennedy, Cap d'Antibes, Antibes",43.548449,7.121575,,https://guide.michelin.com/us/en/hotels-stays/antibes/hotel-du-cap-eden-roc-13557,https://www.hotel-du-cap-eden-roc.com,,3,confirmed,France Key article: 'Antibes: Hôtel du Cap-Eden-Roc' under THE THREE-KEY HOTELS,michelin_key_and_worlds_50_best
hotel_710,p2_011,Hôtel du Couvent,Nice,France,"1 Rue Honoré Ugo, Nice",43.697272,7.278788,,https://guide.michelin.com/h/14057,https://www.hotelducouvent.com,,1,confirmed,France Key article: 'Nice: Hotel du Couvent' under THE ONE-KEY HOTELS,michelin_key_and_worlds_50_best
hotel_711,p2_012,La Réserve Paris,Paris,France,"42 Avenue Gabriel (fronts 1 Rue du Cirque), Paris",48.869728,2.313341,,https://guide.michelin.com/h/8898,https://www.lareserve-paris.com,,3,confirmed,France Key article: 'Paris: La Réserve Paris' under THE THREE-KEY HOTELS,michelin_key_and_worlds_50_best
hotel_712,p2_013,Le Bristol Paris,Paris,France,"112 Rue du Faubourg Saint-Honoré, Paris",48.871827,2.315008,,https://guide.michelin.com/sg/en/hotels-stays/paris/le-bristol-paris-6509,https://www.oetkercollection.com/hotels/le-bristol-paris/,,3,confirmed,France Key article: 'Paris: Le Bristol Paris' under THE THREE-KEY HOTELS,michelin_key_and_worlds_50_best
hotel_713,p2_014,Plaza Athénée,Paris,France,"25 Avenue Montaigne, Paris",48.866382,2.303893,,https://guide.michelin.com/h/6010,https://www.dorchestercollection.com/en/paris/hotel-plaza-athenee/,,3,confirmed,France Key article: 'Paris: Plaza Athénée' under THE THREE-KEY HOTELS,michelin_key_and_worlds_50_best
hotel_714,p2_015,The Maybourne Riviera,Roquebrune-Cap-Martin,France,"1551 Route de la Turbie, Roquebrune-Cap-Martin",43.756432,7.443783,,https://guide.michelin.com/h/12783,https://www.maybourne.com/en/hotels/the-maybourne-riviera,,2,confirmed,France Key article: 'Roquebrune-Cap-Martin: The Maybourne Riviera' under THE TWO-KEY HOTELS,michelin_key_and_worlds_50_best
hotel_715,p2_016,The Brando,Tetiaroa,French Polynesia,,,,,,https://thebrando.com/,,3,confirmed,"Michelin 'All the Key Hotels in the World': Three-Key hotel, Tetiaroa/The Brando",michelin_key_and_worlds_50_best
hotel_716,p2_017,Four Seasons Astir Palace Hotel Athens,Athens,Greece,"40 Apollonos Street, Vouliagmeni, Athens",37.805199,23.771217,,https://guide.michelin.com/en/hotels-stays/athens/four-seasons-astir-palace-12274,https://www.fourseasons.com/athens/,,3,confirmed,Greece Key article: 'Athens: Four Seasons Astir Palace' under THE THREE-KEY Hotels,michelin_key_and_worlds_50_best
hotel_717,p2_018,Four Seasons Hong Kong,Hong Kong,Hong Kong,"8 Finance Street, Central, Hong Kong",22.286626,114.156663,,https://guide.michelin.com/us/en/hotels-stays/hong-kong-island/four-seasons-hotel-hong-kong-7373,https://en.fourseasonshk.com/,,1,confirmed,'Four Seasons Hotel Hong Kong earned One Key in the inaugural Key Hotels distinction',michelin_key_and_worlds_50_best
hotel_718,p2_019,Mandarin Oriental Hong Kong,Hong Kong,Hong Kong,"5 Connaught Road Central, Hong Kong",22.281886,114.159397,,https://guide.michelin.com/en/hotels-stays/hong-kong-island/mandarin-oriental-hong-kong-6202,https://www.mandarinoriental.com/en/hong-kong/victoria-harbour,,1,confirmed,'Mandarin Oriental Hong Kong earned One Key in the inaugural edition',michelin_key_and_worlds_50_best
hotel_719,p2_020,Rosewood Hong Kong,Hong Kong,Hong Kong,"Victoria Dockside, 18 Salisbury Road, Tsim Sha Tsui, Kowloon",22.294701,114.175805,,https://guide.michelin.com/us/en/hotels-stays/kowloon/rosewood-hong-kong-9412,https://www.rosewoodhotels.com/en/hong-kong,,3,confirmed,'Rosewood Hong Kong debuted...with Three Keys',michelin_key_and_worlds_50_best
hotel_720,p2_021,The Peninsula Hong Kong,Hong Kong,Hong Kong,"Salisbury Road, Tsim Sha Tsui, Kowloon",22.295066,114.171789,,https://guide.michelin.com/us/en/hotels-stays/kowloon/the-peninsula-hong-kong-5650,https://www.peninsula.com/,,2,confirmed,peninsula.com press release: '2025 Two-Michelin-Key Award',michelin_key_and_worlds_50_best
hotel_721,p2_022,Upper House Hong Kong,Hong Kong,Hong Kong,"Pacific Place, 88 Queensway, Admiralty, Hong Kong",22.277495,114.166391,,https://guide.michelin.com/en/hotels-stays/hong-kong-island/the-upper-house-hong-kong-5205,https://www.upperhouse.com/en/hongkong/,,2,confirmed,'awarded Two MICHELIN Keys',michelin_key_and_worlds_50_best
hotel_722,p2_023,Amanbagh,Ajabgarh,India,"Amanbagh Resort, Ajabgarh, Village Alwar 301027, Rajasthan",27.169457,76.294427,,https://guide.michelin.com/us/en/hotels-stays/ajabgarh/amanbagh-7251,https://www.aman.com/resorts/amanbagh,,2,confirmed,'Amanbagh...received Two Keys in the MICHELIN Keys 2025 selection',michelin_key_and_worlds_50_best
hotel_723,p2_024,Suján Jawai,"Jawai, Rajasthan",India,,,,,https://guide.michelin.com/us/en/hotels-stays/Bisalpur/jawai-8223,https://thesujanlife.com/sujan-camps/sujan-jawai,,2,confirmed,'SUJÁN Jawai has been awarded Two MICHELIN Keys',michelin_key_and_worlds_50_best
hotel_724,p2_025,The Johri,Jaipur,India,"3950, MSB Ka Rasta, Johri Bazar, Ghat Darwaza, Jaipur, Rajasthan",26.918638,75.826477,,https://guide.michelin.com/en/hotels-stays/jaipur/the-johri-jaipur-12399,https://www.thejohrijaipur.com/,,1,confirmed,'The Johri...awarded One MICHELIN Key',michelin_key_and_worlds_50_best
hotel_725,p2_026,The Oberoi Amarvilas,Agra,India,"Taj East Gate Road, Agra",27.167998,78.049014,,https://guide.michelin.com/en/hotels-stays/agra/the-oberoi-amarvilas-6143,https://www.oberoihotels.com/hotels-in-agra-amarvilas-resort/,,2,confirmed,'awarded Two MICHELIN Keys',michelin_key_and_worlds_50_best
hotel_726,p2_027,The Taj Mahal Palace,Mumbai,India,"Apollo Bunder, Colaba, Mumbai, Maharashtra, India",18.9217291,72.8330309,,https://guide.michelin.com/en/hotels-stays/mumbai/taj-mahal-palace-mumbai-8799,https://www.tajhotels.com/en-in/hotels/taj-mahal-palace-mumbai,,1,confirmed,"'received One MICHELIN Key, A very special stay'",michelin_key_and_worlds_50_best
hotel_727,p2_028,Desa Potato Head,Bali,Indonesia,"Jalan Petitenget No. 51B, Seminyak, Kuta Utara, Bali 80361, Indonesia",-8.6792173,115.1500396,,https://guide.michelin.com/en/hotels-stays/seminyak/desa-potato-head-bali-8192,https://seminyak.potatohead.co/,,,confirmed_absent,Listed on Guide booking platform but excluded from Indonesia 33-hotel Key list; bestresortsbali.com: no Michelin Key,worlds_50_best
hotel_728,p2_029,Mandapa,Bali,Indonesia,"Jalan Kedewatan, Banjar Kedewatan, Ubud, Gianyar, Bali 80571, Indonesia",-8.48588722,115.24423885,,https://guide.michelin.com/en/hotels-stays/ubud/mandapa-a-ritz-carlton-reserve-10894,https://www.ritzcarlton.com/en/hotels/dpsub-mandapa-a-ritz-carlton-reserve/overview/,,3,confirmed,'awarded three keys...an extraordinary stay',michelin_key_and_worlds_50_best
hotel_729,p2_030,Nihi Sumba,Sumba Island,Indonesia,"Hoba Wawi, Wanokaka, West Sumba Regency, East Nusa Tenggara, Indonesia",-9.7776308,119.3762222,,https://guide.michelin.com/is/en/hotels-stays/sumba/nihi-sumba-9235,https://nihi.com/sumba/,,3,confirmed,'received the prestigious 3 Michelin Key award in 2025',michelin_key_and_worlds_50_best
hotel_730,p2_031,The Datai,Langkawi,Malaysia,"Jalan Teluk Datai, 07000 Pulau Langkawi, Kedah Darul Aman, Malaysia",6.422309,99.670442,,https://guide.michelin.com/us/en/hotels-stays/langkawi/the-datai-7463,https://www.thedatai.com/,,,confirmed_absent,Guide listing exists but absent from Malaysia inaugural 4-hotel Key list,worlds_50_best
hotel_731,p2_032,Soneva Fushi,"Eydhafushi, Baa Atoll",Maldives,"Kunfunadhoo Island, Baa Atoll, Maldives",5.112055,73.078026,,https://guide.michelin.com/en/hotels-stays/kunfunadhoo-island/soneva-fushi-316,https://soneva.com/resorts/soneva-fushi/,,3,confirmed,'awarded Three-Keys in the 2025 Michelin Guide Key Hotels',michelin_key_and_worlds_50_best
hotel_732,p2_033,Soneva Jani,Noonu Atoll,Maldives,"Medhufaru Island, Noonu Atoll, Maldives",5.720434,73.415032,,https://guide.michelin.com/en/hotels-stays/medhufaru-island-noonu-atoll/soneva-jani-9087,https://soneva.com/resorts/soneva-jani/,,2,confirmed,'designated with Two MICHELIN Keys',michelin_key_and_worlds_50_best
hotel_733,p2_034,Soneva Secret,Maldives,Maldives,,,,,https://guide.michelin.com/us/en/hotels-stays/Dhipparufushi%20Island/soneva-secret-16237,https://soneva.com/resorts/soneva-secret/,,,unknown,"Page confirmed Key Selected, exact tier not surfaced",worlds_50_best
hotel_734,p2_035,Chablé Yucatán,"Chocholá, Yucatán",Mexico,"Tablaje 642, San Antonio Chablé, 97816 Chocholá, Yucatán, Mexico",20.754219,-89.8614384,,https://guide.michelin.com/be/nl/hotels-stays/chochola/chable-yucatan-8415,https://yucatan.chablehotels.com/,,2,confirmed,'Chablé Yucatan has earned Two MICHELIN Keys',michelin_key_and_worlds_50_best
hotel_735,p2_036,Hotel Esencia,Tulum,Mexico,"Carretera Cancún–Tulum Km 265, Xpu-Ha, Quintana Roo, Mexico",20.481945,-87.256164,,https://guide.michelin.com/us/en/hotels-stays/playa-del-carmen/hotel-esencia-2171,https://hotelesencia.com/,,3,confirmed,Hotel's own site: 'honored...second year in a row with Three Michelin Keys',michelin_key_and_worlds_50_best
hotel_736,p2_037,Las Ventanas al Paraíso,Los Cabos,Mexico,"KM 19.5 Ctra. Transpeninsular, San José del Cabo, BCS, Mexico",22.97937,-109.770454,,https://guide.michelin.com/us/en/hotels-stays/los-cabos/las-ventanas-al-paraiso-a-rosewood-resort-7368,https://www.rosewoodhotels.com/en/las-ventanas-los-cabos,,2,confirmed,'received Two Michelin Keys',michelin_key_and_worlds_50_best
hotel_737,p2_038,Maroma,Riviera Maya,Mexico,"Carretera Cancún-Tulum Km 51, Punta Maroma, 77710 Riviera Maya, Quintana Roo, Mexico",20.74028,-86.96583,,https://guide.michelin.com/us/en/hotels-stays/punta-maroma/maroma-a-belmond-hotel-riviera-maya-2971,https://www.belmond.com/hotels/north-america/mexico/riviera-maya/belmond-maroma-resort-and-spa/,,2,confirmed,'Two MICHELIN Keys - An exceptional stay',michelin_key_and_worlds_50_best
hotel_738,p2_039,Montage Los Cabos,Cabo San Lucas,Mexico,"Carretera Transpeninsular KM 12.5, Int. Bahía Santa María, 23450 Cabo San Lucas, BCS, Mexico",22.930165,-109.816378,,https://guide.michelin.com/us/en/hotels-stays/los-cabos/montage-los-cabos-8741,https://www.montage.com/loscabos/,,2,confirmed,'received Two MICHELIN Keys',michelin_key_and_worlds_50_best
hotel_739,p2_040,One&Only Mandarina,Riviera Nayarit,Mexico,,,,,https://guide.michelin.com/us/en/hotels-stays/Lo-de-Marcos/oneonly-mandarina-12145,https://www.oneandonlyresorts.com/mandarina,,3,confirmed,'one of few hotels to receive three Michelin Keys',michelin_key_and_worlds_50_best
hotel_740,p2_041,Rosewood Mayakoba,Playa del Carmen,Mexico,"Ctra. Federal Cancún–Playa del Carmen Km 298, Solidaridad, Quintana Roo, Mexico",20.687928,-87.02013,,,,,,unknown,Not covered by any research batch (transcription gap) - genuinely unresolved this pass,worlds_50_best
hotel_741,p2_042,La Mamounia,Marrakech,Morocco,"Avenue Bab Jdid, Marrakech 40040, Morocco",31.6213829,-7.9974419,,https://guide.michelin.com/us/en/hotels-stays/marrakech/la-mamounia-2401,https://mamounia.com/en/,,3,confirmed,'awarded Three MICHELIN Keys...among six Three-Key hotels across four African countries',michelin_key_and_worlds_50_best
hotel_742,p2_043,Royal Mansour,Marrakech,Morocco,"Rue Abou El Abbas Sebti, Medina, Marrakech 40034, Morocco",31.6252691,-7.9983024,,https://guide.michelin.com/us/en/hotels-stays/marrakech/royal-mansour-5181,https://www.royalmansour.com/en/marrakech/,,2,confirmed,'earned Two MICHELIN Keys',michelin_key_and_worlds_50_best
hotel_743,p2_044,Huka Lodge,Taupō,New Zealand,"Huka Falls Road, Rangatira Park, Taupō 3377, New Zealand",-38.6546899,176.0868588,,https://guide.michelin.com/us/en/hotels-stays/taupo/huka-lodge-6105,https://hukalodge.com/,,2,confirmed,'unlocked Two MICHELIN Keys',michelin_key_and_worlds_50_best
hotel_744,p2_045,Six Senses Zighy Bay,Zighy Bay,Oman,"Zighy Bay Road, Zighy, Dibba, Musandam Governorate, Oman",25.7100231,56.272654,,https://guide.michelin.com/us/en/hotels-stays/dibba/six-senses-zighy-bay-oman-6046,https://www.sixsenses.com/en/resorts/zighy-bay,,1,confirmed,'receives one MICHELIN Key' (Oman inaugural 2025 selection),michelin_key_and_worlds_50_best
hotel_745,p2_046,Palacio Nazarenas,Cusco,Peru,"Calle Plazoleta Nazarenas 223, Cusco, Perú",-13.514797,-71.976713,,https://guide.michelin.com/ie/en/hotels-stays/cusco/palacio-nazarenas-a-belmond-hotel-cusco-6409,https://www.belmond.com/en/hotels/south-america/peru/palacio-nazarenas-cusco,,1,confirmed,'rated with One MICHELIN Key',michelin_key_and_worlds_50_best
hotel_746,p2_047,Mount Nelson,Cape Town,South Africa,"76 Orange Street, Gardens, Cape Town, 8001, South Africa",-33.93204,18.411685,,https://guide.michelin.com/en/hotels-stays/cape-town/mount-nelson-a-belmond-hotel-cape-town-5950,https://www.belmond.com/en/hotels/africa/south-africa/mount-nelson-cape-town,,2,confirmed,'received Two Keys for exceptional stays',michelin_key_and_worlds_50_best
hotel_747,p2_048,Singita – Kruger National Park,Kruger National Park,South Africa,,,,,,https://singita.com/region/kruger-national-park/,,,unknown,"IDENTITY AMBIGUOUS: does not map 1:1 to Singita Lebombo vs Singita Sweni (separate Guide listings, likely different tiers) - needs disambiguation before any tier is recorded",worlds_50_best
hotel_748,p2_049,Amangalla,Galle,Sri Lanka,"10 Church Street, Fort, Galle, 80000, Sri Lanka",6.03306,80.21667,,https://guide.michelin.com/us/en/hotels-stays/galle/amangalla-7252,https://www.aman.com/resorts/amangalla,,1,confirmed,'received one Michelin Key in Sri Lanka inaugural Michelin Key Awards',michelin_key_and_worlds_50_best
hotel_749,p2_050,Eden Rock,Saint-Jean,St. Barthélemy,"Baie de Saint Jean, 97133 Saint Barthélemy, French West Indies",17.90306,-62.83611,,,https://www.oetkerhotels.com/hotels/eden-rock-st-barths/,,,unknown,"No guide.michelin.com listing found; not confirmed absent, genuinely unresolved",worlds_50_best
hotel_750,p2_051,Ett Hem,Stockholm,Sweden,"Sköldungagatan 2, SE-114 27 Stockholm, Sweden",59.3456028,18.0677011,,https://guide.michelin.com/en/hotels-stays/stockholm/ett-hem-7183,https://www.etthem.se/,,1,confirmed,'awarded One MICHELIN Key' (Sweden inaugural 2025 Nordic selection),michelin_key_and_worlds_50_best
hotel_751,p2_052,Aman Nai Lert,Bangkok,Thailand,"1 Soi Somkid, Lumpini, Pathumwan, Bangkok 10330, Thailand",13.746968,100.5463261,,https://guide.michelin.com/rs/en/hotels-stays/bangkok/aman-nai-lert-13857,https://www.aman.com/hotels/aman-nai-lert-bangkok,,2,confirmed,'a rating of Two MICHELIN Keys',michelin_key_and_worlds_50_best
hotel_752,p2_053,Capella Bangkok,Bangkok,Thailand,"300/2 Charoen Krung Rd (Soi Charoenkrung 62), Yan Nawa, Sathon, Bangkok 10120, Thailand",13.7132727,100.5111616,,https://guide.michelin.com/en/hotels-stays/bangkok/capella-bangkok-12207,https://capellahotels.com/en/capella-bangkok,,2,confirmed,'awarded Two MICHELIN Keys in The MICHELIN Guide 2025',michelin_key_and_worlds_50_best
hotel_753,p2_054,Dusit Thani Bangkok,Bangkok,Thailand,"98 Rama IV Road, Silom, Bang Rak, Bangkok 10500, Thailand",13.7282719,100.5381009,ChIJNR_QAkSf4jARbTRljQDBL70,https://guide.michelin.com/us/en/hotels-stays/bangkok/dusit-thani-bangkok-14928,https://www.dusit.com/dusitthani-bangkok/,,1,confirmed,'awarded one Michelin Key from the Michelin Guide in 2025',michelin_key_and_worlds_50_best
hotel_754,p2_055,Four Seasons Bangkok at Chao Phraya River,Bangkok,Thailand,"300/1 Charoen Krung Road, Yannawa, Sathorn, Bangkok 10120, Thailand",13.7117012,100.5099107,,https://guide.michelin.com/en/hotels-stays/bangkok/four-seasons-bangkok-13358,https://www.fourseasons.com/bangkok/,,2,confirmed,'awarded two Michelin keys...second consecutive recognition',michelin_key_and_worlds_50_best
hotel_755,p2_056,Mandarin Oriental Bangkok,Bangkok,Thailand,"48 Oriental Avenue, Bang Rak, Bangkok 10500, Thailand",13.7238854,100.5141549,,https://guide.michelin.com/us/en/hotels-stays/bangkok/mandarin-oriental-bangkok-6088,https://www.mandarinoriental.com/en/bangkok/chao-phraya-river,,3,confirmed,'gained Three MICHELIN Keys',michelin_key_and_worlds_50_best
hotel_756,p2_057,Rosewood Bangkok,Bangkok,Thailand,"1041/38 Ploenchit Road, Lumpini, Pathumwan, Bangkok 10330, Thailand",13.74338,100.54976,,https://guide.michelin.com/th/th/hotels-stays/bangkok/rosewood-bangkok-11140,https://www.rosewoodhotels.com/en/bangkok,,2,confirmed,'earned Two MICHELIN Keys',michelin_key_and_worlds_50_best
hotel_757,p2_058,The Siam,Bangkok,Thailand,"3/2 Thanon Khao, Vachirapayabal, Dusit, Bangkok 10300, Thailand",13.7814475,100.5053826,,https://guide.michelin.com/us/en/hotels-stays/bangkok/the-siam-7829,https://www.thesiamhotel.com/,,3,confirmed,'awarded three MICHELIN Keys',michelin_key_and_worlds_50_best
hotel_758,p2_059,Maçakızı,Bodrum,Turkey,"Kesire Mevkii, Narçiçeği Sokak, 48400 Göltürkbükü (Bodrum), Türkiye",37.136472,27.380201,,https://guide.michelin.com/en/hotels-stays/bodrum/macakizi-5656,https://www.macakizi.com/,,,unknown,Listing exists; restaurant separately 1-Starred; no hotel-level Key tier confirmed,worlds_50_best
hotel_759,p2_060,Atlantis The Royal,Dubai,United Arab Emirates,"Crescent Road, The Palm Jumeirah, Dubai, UAE (P.O. Box 211222)",25.137842,55.1273367,,https://guide.michelin.com/en/hotels-stays/palm-jumeirah/atlantis-the-royal-dubai-12999,https://www.atlantis.com/dubai/atlantis-the-royal,,3,confirmed,'secured the region's only Three Key distinction',michelin_key_and_worlds_50_best
hotel_760,p2_061,Jumeirah Marsa Al Arab,Dubai,United Arab Emirates,"Umm Suqeim 3, Jumeirah Road, Dubai, UAE",25.1442961,55.1903353,,https://guide.michelin.com/us/en/hotels-stays/dubai/jumeirah-marsa-al-arab-16587,https://www.jumeirah.com/en/stay/dubai/jumeirah-marsa-al-arab,,,unknown,"Listing exists; not in Michelin's own Dubai Key-hotels article (likely too new, opened Mar 2025) - not a statement of exclusion",worlds_50_best
hotel_761,p2_062,The Lana,Dubai,United Arab Emirates,"Marasi Drive, Business Bay, Dubai, UAE",25.188041,55.2882653,,https://guide.michelin.com/en/hotels-stays/dubai/the-lana-dorchester-collection-13525,https://www.dorchestercollection.com/dubai/the-lana,,1,confirmed,'rated with One MICHELIN Key'; confirmed via direct fetch of Michelin's Dubai Key-hotels article,michelin_key_and_worlds_50_best
hotel_762,p2_063,Claridge's,London,United Kingdom,"Claridge's, Brook Street, Mayfair, London, W1K 4HR, UK",51.5125,-0.1475,,https://guide.michelin.com/en/hotels-stays/london/claridges-5908,https://www.claridges.co.uk/,,3,confirmed,'awarded Three MICHELIN Keys',michelin_key_and_worlds_50_best
