hotel_code,name,city,country,address,postal_code,latitude,longitude,google_place_id,location_classification,geocode_source,geocode_notes,coordinate_validation_issues,website_url,michelin_url,michelin_keys,key_status,inclusion_reason
hotel_706,Kokomo Private Island,Yaukuve Levu Island,Fiji,"**NO STREET ADDRESS EXISTS** — ""Yaukuve Levu Island, Kadavu Archipelago, Fiji"" only",,-18.7992483,178.5277542,,BLOCKED_ADDRESS,kokomoislandfiji.com/contact; multiple travel sources; Nominatim (name-matched island POI),"Remote private-island resort, seaplane/helicopter access only. Official site's own contact page lists no street/number, no P.O. Box found anywhere. Coordinates are solid. **A human decision is needed on whether a descriptive location string (e.g. ""Yaukuve Levu Island, Kadavu, Fiji"") is an acceptable `address` value, or whether this hotel stays blocked until a postal convention is decided.** Not decided here.",,https://www.kokomoislandfiji.com/,,,unknown,worlds_50_best
hotel_707,Cheval Blanc Paris,Paris,France,"8 Quai du Louvre, Paris",75001,48.858857,2.342179,,READY_HIGH,"hotelplanner.com, guide.michelin.com, theworlds50best.com, OSM/Nominatim (named POI ""Cheval Blanc"")",Official site 403'd; 3+ independent sources converge exactly,,https://www.chevalblanc.com/en/maison/paris/,https://guide.michelin.com/is/en/hotels-stays/paris/cheval-blanc-paris-dior-spa-cheval-blanc-paris-12286,3,confirmed,michelin_key_and_worlds_50_best
hotel_708,Hôtel de Crillon,Paris,France,"10 Place de la Concorde, Paris",75008,48.867622,2.321367,,READY_HIGH,rosewoodhotels.com (official); OSM/Nominatim (named POI),,,https://www.rosewoodhotels.com/en/hotel-de-crillon,https://guide.michelin.com/hu/en/hotels-stays/paris/hotel-de-crillon-a-rosewood-hotel-2951,2,confirmed,michelin_key_and_worlds_50_best
hotel_709,Hôtel du Cap-Eden-Roc,Antibes,France,"165 Boulevard John Fitzgerald Kennedy, Cap d'Antibes, Antibes",06160,43.548449,7.121575,,READY_HIGH,"guide.michelin.com, hotelplanner.com, tourism office; OSM/Nominatim (named POI)","Official site rate-limited both attempts; used physical postcode 06160, not the PO-box code",,https://www.hotel-du-cap-eden-roc.com,https://guide.michelin.com/us/en/hotels-stays/antibes/hotel-du-cap-eden-roc-13557,3,confirmed,michelin_key_and_worlds_50_best
hotel_710,Hôtel du Couvent,Nice,France,"1 Rue Honoré Ugo, Nice",06300,43.697272,7.278788,,READY_HIGH,"hotelducouvent.com (official, direct fetch); guide.michelin.com; OSM/Nominatim (named POI)",,,https://www.hotelducouvent.com,https://guide.michelin.com/h/14057,1,confirmed,michelin_key_and_worlds_50_best
hotel_711,La Réserve Paris,Paris,France,"42 Avenue Gabriel (fronts 1 Rue du Cirque), Paris",75008,48.869728,2.313341,,READY_HIGH,Wikidata Q109042380; lareserve-paris.com (address); OSM/Nominatim address geocode (agrees within ~1m),,,https://www.lareserve-paris.com,https://guide.michelin.com/h/8898,3,confirmed,michelin_key_and_worlds_50_best
hotel_712,Le Bristol Paris,Paris,France,"112 Rue du Faubourg Saint-Honoré, Paris",75008,48.871827,2.315008,,READY_HIGH,oetkerhotels.com (search-derived); guide.michelin.com; OSM/Nominatim (named POI),Official site rate-limited; multiple convergent listings,,https://www.oetkercollection.com/hotels/le-bristol-paris/,https://guide.michelin.com/sg/en/hotels-stays/paris/le-bristol-paris-6509,3,confirmed,michelin_key_and_worlds_50_best
hotel_713,Plaza Athénée,Paris,France,"25 Avenue Montaigne, Paris",75008,48.866382,2.303893,,READY_HIGH,"Apple Maps, Yelp, guide.michelin.com; OSM/Nominatim (named POI)",Official site 403'd; strongly corroborated elsewhere,,https://www.dorchestercollection.com/en/paris/hotel-plaza-athenee/,https://guide.michelin.com/h/6010,3,confirmed,michelin_key_and_worlds_50_best
hotel_714,The Maybourne Riviera,Roquebrune-Cap-Martin,France,"1551 Route de la Turbie, Roquebrune-Cap-Martin",06190,43.756432,7.443783,,READY_HIGH,"maybourne.com (official, direct fetch); OSM/Nominatim (named POI, exact match)",,,https://www.maybourne.com/en/hotels/the-maybourne-riviera,https://guide.michelin.com/h/12783,2,confirmed,michelin_key_and_worlds_50_best
hotel_715,The Brando,Tetiaroa,French Polynesia,"Tetiaroa Private Island (Onetahi motu), Arue, P.O. Box 6014, Faa'a, 98702 Tahiti, French Polynesia",98702,,,,BLOCKED_COORDINATES,"thebrando.com (address only); Wikidata Q48816837 (coordinate only, rounded to nearest arc-minute)","Only available coordinate is ~1-2km precision, not reliable for a specific building on a small atoll — declined to substitute the airstrip's coordinate since it wasn't confirmed as the resort's own",,https://thebrando.com/,,3,confirmed,michelin_key_and_worlds_50_best
hotel_716,Four Seasons Astir Palace Hotel Athens,Athens,Greece,"40 Apollonos Street, Vouliagmeni, Athens",16671,37.805199,23.771217,,READY_HIGH,"astir.gr (address via search cache); OSM/Nominatim (named POI, Greek-language match ""Astir of Vouliagmeni"")",,,https://www.fourseasons.com/athens/,https://guide.michelin.com/en/hotels-stays/athens/four-seasons-astir-palace-12274,3,confirmed,michelin_key_and_worlds_50_best
hotel_717,Four Seasons Hong Kong,Hong Kong,Hong Kong,"8 Finance Street, Central, Hong Kong",none (HK has no postal codes),22.286626,114.156663,,READY_HIGH,"fourseasons.com (official, via search cache); OSM/Nominatim (named POI)",Confirmed distinct from other 4 HK hotels,,https://en.fourseasonshk.com/,https://guide.michelin.com/us/en/hotels-stays/hong-kong-island/four-seasons-hotel-hong-kong-7373,1,confirmed,michelin_key_and_worlds_50_best
hotel_718,Mandarin Oriental Hong Kong,Hong Kong,Hong Kong,"5 Connaught Road Central, Hong Kong",,22.281886,114.159397,,READY_HIGH,"mandarinoriental.com (official, via search cache); OSM/Nominatim (named POI)",Distinct Central-district building,,https://www.mandarinoriental.com/en/hong-kong/victoria-harbour,https://guide.michelin.com/en/hotels-stays/hong-kong-island/mandarin-oriental-hong-kong-6202,1,confirmed,michelin_key_and_worlds_50_best
hotel_719,Rosewood Hong Kong,Hong Kong,Hong Kong,"Victoria Dockside, 18 Salisbury Road, Tsim Sha Tsui, Kowloon",,22.294701,114.175805,,READY_HIGH,"rosewoodhotels.com (official, via search cache); OSM/Nominatim (named POI)",Distinct Kowloon-side building,,https://www.rosewoodhotels.com/en/hong-kong,https://guide.michelin.com/us/en/hotels-stays/kowloon/rosewood-hong-kong-9412,3,confirmed,michelin_key_and_worlds_50_best
hotel_720,The Peninsula Hong Kong,Hong Kong,Hong Kong,"Salisbury Road, Tsim Sha Tsui, Kowloon",,22.295066,114.171789,,READY_HIGH,"peninsula.com (via search cache, direct fetch 403'd); OSM/Nominatim (named POI, corroborated by co-located Felix Bar/Peninsula Arcade)",Confirmed distinct from Rosewood despite both on Salisbury Rd — ~800m apart,,https://www.peninsula.com/,https://guide.michelin.com/us/en/hotels-stays/kowloon/the-peninsula-hong-kong-5650,2,confirmed,michelin_key_and_worlds_50_best
hotel_721,Upper House Hong Kong,Hong Kong,Hong Kong,"Pacific Place, 88 Queensway, Admiralty, Hong Kong",,22.277495,114.166391,,READY_MEDIUM,upperhouse.com (via search cache); OSM/Nominatim (named POI),"OSM street field says ""Justice Drive, Tamar"" not ""Queensway"" — same Pacific Place complex, not an identity concern, but flagged",,https://www.upperhouse.com/en/hongkong/,https://guide.michelin.com/en/hotels-stays/hong-kong-island/the-upper-house-hong-kong-5205,2,confirmed,michelin_key_and_worlds_50_best
hotel_722,Amanbagh,Ajabgarh,India,"Amanbagh Resort, Ajabgarh, Village Alwar 301027, Rajasthan",301027,27.169457,76.294427,,READY_HIGH,"aman.com (official, direct fetch incl. Maps link); OSM/Nominatim (named POI)",,,https://www.aman.com/resorts/amanbagh,https://guide.michelin.com/us/en/hotels-stays/ajabgarh/amanbagh-7251,2,confirmed,michelin_key_and_worlds_50_best
hotel_723,Suján Jawai,"Jawai, Rajasthan",India,"Gram Panchayat, VPO Bisalpur, Tehsil Pali, Rajasthan 306401",306401,,,,BLOCKED_COORDINATES,"Ampersand Travel, trip.com (both give same address)","Nominatim ""Bisalpur"" resolves to a same-named but DIFFERENT village near Jodhpur — using it would risk a materially wrong pin. Nearby ""Jawai Bandh Leopard Conservation Reserve"" is a different feature (dam/reserve), declined as stand-in",,https://thesujanlife.com/sujan-camps/sujan-jawai,https://guide.michelin.com/us/en/hotels-stays/Bisalpur/jawai-8223,2,confirmed,michelin_key_and_worlds_50_best
hotel_724,The Johri,Jaipur,India,"3950, MSB Ka Rasta, Johri Bazar, Ghat Darwaza, Jaipur, Rajasthan",302003,26.918638,75.826477,,READY_MEDIUM,"wanderlog.com; OSM/Nominatim (named POI tagged amenity=restaurant, ~15m away — likely hotel's integrated restaurant in same haveli)","Neither source is Tier-1 official; OSM tag is ""restaurant"" not ""hotel""",,https://www.thejohrijaipur.com/,https://guide.michelin.com/en/hotels-stays/jaipur/the-johri-jaipur-12399,1,confirmed,michelin_key_and_worlds_50_best
hotel_725,The Oberoi Amarvilas,Agra,India,"Taj East Gate Road, Agra",282001,27.167998,78.049014,,READY_HIGH,"oberoihotels.com (official, direct fetch); OSM/Nominatim (named POI, postcode matches)",A near-duplicate OSM point ~25m away has a different postcode (282004) — 282001 preferred as it matches official site,,https://www.oberoihotels.com/hotels-in-agra-amarvilas-resort/,https://guide.michelin.com/en/hotels-stays/agra/the-oberoi-amarvilas-6143,2,confirmed,michelin_key_and_worlds_50_best
hotel_726,The Taj Mahal Palace,Mumbai,India,"Apollo Bunder, Colaba, Mumbai, Maharashtra, India",400001,18.9217291,72.8330309,,READY_HIGH,Google Maps URL via search (site 403'd),"Globally unambiguous landmark, exact match",,https://www.tajhotels.com/en-in/hotels/taj-mahal-palace-mumbai,https://guide.michelin.com/en/hotels-stays/mumbai/taj-mahal-palace-mumbai-8799,1,confirmed,michelin_key_and_worlds_50_best
hotel_727,Desa Potato Head,Bali,Indonesia,"Jalan Petitenget No. 51B, Seminyak, Kuta Utara, Bali 80361, Indonesia",80361,-8.6792173,115.1500396,,READY_HIGH,"seminyak.potatohead.co (goo.gl link on site, resolved)","Confirmed Seminyak, not Ubud",,https://seminyak.potatohead.co/,https://guide.michelin.com/en/hotels-stays/seminyak/desa-potato-head-bali-8192,,confirmed_absent,worlds_50_best
hotel_728,Mandapa,Bali,Indonesia,"Jalan Kedewatan, Banjar Kedewatan, Ubud, Gianyar, Bali 80571, Indonesia",80571,-8.48588722,115.24423885,,READY_HIGH,ritzcarlton.com (own site),"Confirmed Ubud, not Seminyak",,https://www.ritzcarlton.com/en/hotels/dpsub-mandapa-a-ritz-carlton-reserve/overview/,https://guide.michelin.com/en/hotels-stays/ubud/mandapa-a-ritz-carlton-reserve-10894,3,confirmed,michelin_key_and_worlds_50_best
hotel_729,Nihi Sumba,Sumba Island,Indonesia,"Hoba Wawi, Wanokaka, West Sumba Regency, East Nusa Tenggara, Indonesia",87272,-9.7776308,119.3762222,,READY_HIGH,nihi.com (Google Maps directions link on site),"Destination-marker coords, not viewport center",,https://nihi.com/sumba/,https://guide.michelin.com/is/en/hotels-stays/sumba/nihi-sumba-9235,3,confirmed,michelin_key_and_worlds_50_best
hotel_730,The Datai,Langkawi,Malaysia,"Jalan Teluk Datai, 07000 Pulau Langkawi, Kedah Darul Aman, Malaysia",07000,6.422309,99.670442,,READY_HIGH,thedatai.com/contact/ (Google Maps link on site),,,https://www.thedatai.com/,https://guide.michelin.com/us/en/hotels-stays/langkawi/the-datai-7463,,confirmed_absent,worlds_50_best
hotel_731,Soneva Fushi,"Eydhafushi, Baa Atoll",Maldives,"Kunfunadhoo Island, Baa Atoll, Maldives",,5.112055,73.078026,,READY_MEDIUM,"latlong.net, sandee.com (independent aggregators converge)",No street address exists (private-island resort); official site 403'd,,https://soneva.com/resorts/soneva-fushi/,https://guide.michelin.com/en/hotels-stays/kunfunadhoo-island/soneva-fushi-316,3,confirmed,michelin_key_and_worlds_50_best
hotel_732,Soneva Jani,Noonu Atoll,Maldives,"Medhufaru Island, Noonu Atoll, Maldives",,5.720434,73.415032,,READY_MEDIUM,wanderlog.com; corroborated by malediven.reise DMS conversion,Distinct from Soneva Fushi/Secret — different atoll confirmed,,https://soneva.com/resorts/soneva-jani/,https://guide.michelin.com/en/hotels-stays/medhufaru-island-noonu-atoll/soneva-jani-9087,2,confirmed,michelin_key_and_worlds_50_best
hotel_733,Soneva Secret,Maldives,Maldives,"Dhipparufushi Island, Makunudhoo Atoll (admin. Haa Dhaalu Atoll), Maldives",,,,,BLOCKED_COORDINATES,"soneva.com, MICHELIN Guide, press (address/island only)","Newest Soneva (opened May 2024), not yet indexed on aggregators. Identity/atoll confirmed distinct from Fushi/Jani",,https://soneva.com/resorts/soneva-secret/,https://guide.michelin.com/us/en/hotels-stays/Dhipparufushi%20Island/soneva-secret-16237,,unknown,worlds_50_best
hotel_734,Chablé Yucatán,"Chocholá, Yucatán",Mexico,"Tablaje 642, San Antonio Chablé, 97816 Chocholá, Yucatán, Mexico",97816,20.754219,-89.8614384,,READY_HIGH,Google Maps place URL via search (site had no address on-page),,,https://yucatan.chablehotels.com/,https://guide.michelin.com/be/nl/hotels-stays/chochola/chable-yucatan-8415,2,confirmed,michelin_key_and_worlds_50_best
hotel_735,Hotel Esencia,Tulum,Mexico,"Carretera Cancún–Tulum Km 265, Xpu-Ha, Quintana Roo, Mexico",77750 (site) / 77734 (aggregator) — minor discrepancy,20.481945,-87.256164,,READY_MEDIUM,hotelesencia.com/contact/ (address); wanderlog.com (coords),"Task listed city ""Tulum"" but actual location is Xpu-Ha, between Playa del Carmen and Tulum — confirmed correct property (recently 3 MICHELIN Keys)",,https://hotelesencia.com/,https://guide.michelin.com/us/en/hotels-stays/playa-del-carmen/hotel-esencia-2171,3,confirmed,michelin_key_and_worlds_50_best
hotel_736,Las Ventanas al Paraíso,Los Cabos,Mexico,"KM 19.5 Ctra. Transpeninsular, San José del Cabo, BCS, Mexico",23405 (site) / 23400 (aggregator) — minor discrepancy,22.97937,-109.770454,,READY_MEDIUM,rosewoodhotels.com (address); latlong.net (coords),,,https://www.rosewoodhotels.com/en/las-ventanas-los-cabos,https://guide.michelin.com/us/en/hotels-stays/los-cabos/las-ventanas-al-paraiso-a-rosewood-resort-7368,2,confirmed,michelin_key_and_worlds_50_best
hotel_737,Maroma,Riviera Maya,Mexico,"Carretera Cancún-Tulum Km 51, Punta Maroma, 77710 Riviera Maya, Quintana Roo, Mexico",77710,20.74028,-86.96583,,READY_MEDIUM,belmond.com (address); Wikipedia-sourced DMS coords,,,https://www.belmond.com/hotels/north-america/mexico/riviera-maya/belmond-maroma-resort-and-spa/,https://guide.michelin.com/us/en/hotels-stays/punta-maroma/maroma-a-belmond-hotel-riviera-maya-2971,2,confirmed,michelin_key_and_worlds_50_best
hotel_738,Montage Los Cabos,Cabo San Lucas,Mexico,"Carretera Transpeninsular KM 12.5, Int. Bahía Santa María, 23450 Cabo San Lucas, BCS, Mexico",23450,22.930165,-109.816378,,READY_MEDIUM,"montage.com/loscabos (address via search, site 403'd); wanderlog.com (coords)",,,https://www.montage.com/loscabos/,https://guide.michelin.com/us/en/hotels-stays/los-cabos/montage-los-cabos-8741,2,confirmed,michelin_key_and_worlds_50_best
hotel_739,One&Only Mandarina,Riviera Nayarit,Mexico,"Carretera Federal Libre 200 Tepic-Puerto Vallarta, El Monteón, Compostela, Nayarit, Mexico",63724,,,,BLOCKED_COORDINATES,oneandonlyresorts.com/mandarina (address only),Address well-corroborated; no reliable coordinate source located,,https://www.oneandonlyresorts.com/mandarina,https://guide.michelin.com/us/en/hotels-stays/Lo-de-Marcos/oneonly-mandarina-12145,3,confirmed,michelin_key_and_worlds_50_best
hotel_740,Rosewood Mayakoba,Playa del Carmen,Mexico,"Ctra. Federal Cancún–Playa del Carmen Km 298, Solidaridad, Quintana Roo, Mexico",77710,20.687928,-87.02013,,READY_MEDIUM,rosewoodhotels.com/mayakoba-riviera-maya (address); wanderlog.com (coords); guide.michelin.com + press (Key status),See deep-dive below,,,,,unknown,worlds_50_best
hotel_741,La Mamounia,Marrakech,Morocco,"Avenue Bab Jdid, Marrakech 40040, Morocco",40040,31.6213829,-7.9974419,,READY_MEDIUM,"mamounia.com/en/contact.html (address, via search); OSM/Nominatim (named POI 'La Mamounia', tourism=hotel)","OSM's own street name (Avenue Houman El Fetouaki) differs slightly from the official contact address (Avenue Bab Jdid) — same building/entrance area of the medina, common with large historic properties having multiple street frontages; address not independently confirmed via direct site fetch (search snippet only)",,https://mamounia.com/en/,https://guide.michelin.com/us/en/hotels-stays/marrakech/la-mamounia-2401,3,confirmed,michelin_key_and_worlds_50_best
hotel_742,Royal Mansour,Marrakech,Morocco,"Rue Abou El Abbas Sebti, Medina, Marrakech 40034, Morocco",40034,31.6252691,-7.9983024,,READY_HIGH,"OSM/Nominatim (named POI 'Royal Mansour Marrakech', address+coordinates from same source)",Address and coordinates both sourced directly from an OSM entry whose name tag is an exact match,,https://www.royalmansour.com/en/marrakech/,https://guide.michelin.com/us/en/hotels-stays/marrakech/royal-mansour-5181,2,confirmed,michelin_key_and_worlds_50_best
hotel_743,Huka Lodge,Taupō,New Zealand,"Huka Falls Road, Rangatira Park, Taupō 3377, New Zealand",3377,-38.6546899,176.0868588,,READY_HIGH,"OSM/Nominatim (named POI 'Huka Lodge', address+coordinates from same source)",OSM tags it 'chalet' not 'hotel' but the name tag is an exact match,,https://hukalodge.com/,https://guide.michelin.com/us/en/hotels-stays/taupo/huka-lodge-6105,2,confirmed,michelin_key_and_worlds_50_best
hotel_744,Six Senses Zighy Bay,Zighy Bay,Oman,"Zighy Bay Road, Zighy, Dibba, Musandam Governorate, Oman",PC 800,25.7100231,56.272654,,READY_HIGH,"OSM/Nominatim (named POI 'Six Senses Zighy Bay', tourism=hotel, address+coordinates from same source); postal code PC 800 corroborated via classictravel.com listing","Official site mailing address is a P.O. Box, not a street address — used OSM road-level address instead",,https://www.sixsenses.com/en/resorts/zighy-bay,https://guide.michelin.com/us/en/hotels-stays/dibba/six-senses-zighy-bay-oman-6046,1,confirmed,michelin_key_and_worlds_50_best
hotel_745,Palacio Nazarenas,Cusco,Peru,"Calle Plazoleta Nazarenas 223, Cusco, Perú",,-13.514797,-71.976713,,READY_HIGH,belmond.com hotel location page (own site Google Maps link),Belmond's own page gave two slightly differing address strings — used the one that co-occurred with the verified coordinates,,https://www.belmond.com/en/hotels/south-america/peru/palacio-nazarenas-cusco,https://guide.michelin.com/ie/en/hotels-stays/cusco/palacio-nazarenas-a-belmond-hotel-cusco-6409,1,confirmed,michelin_key_and_worlds_50_best
hotel_746,Mount Nelson,Cape Town,South Africa,"76 Orange Street, Gardens, Cape Town, 8001, South Africa",8001,-33.93204,18.411685,,READY_HIGH,belmond.com (own site Google Maps link),Cross-checked against Wikipedia — matches,,https://www.belmond.com/en/hotels/africa/south-africa/mount-nelson-cape-town,https://guide.michelin.com/en/hotels-stays/cape-town/mount-nelson-a-belmond-hotel-cape-town-5950,2,confirmed,michelin_key_and_worlds_50_best
hotel_747,Singita – Kruger National Park,Kruger National Park,South Africa,**BLOCKED — see disambiguation above**,,,,,BLOCKED_AMBIGUOUS_PROPERTY,"theworlds50best.com, singita.com, guide.michelin.com",Genuine collective 2-lodge ranking entry — needs human product decision,,https://singita.com/region/kruger-national-park/,,,unknown,worlds_50_best
hotel_748,Amangalla,Galle,Sri Lanka,"10 Church Street, Fort, Galle, 80000, Sri Lanka",80000,6.03306,80.21667,,READY_MEDIUM,aman.com (address only); Wikipedia (coordinates),"Aman's own site displayed a garbled/impossible coordinate near its embedded map (central Africa) — discarded, used Wikipedia instead",,https://www.aman.com/resorts/amangalla,https://guide.michelin.com/us/en/hotels-stays/galle/amangalla-7252,1,confirmed,michelin_key_and_worlds_50_best
hotel_749,Eden Rock,Saint-Jean,St. Barthélemy,"Baie de Saint Jean, 97133 Saint Barthélemy, French West Indies",97133,17.90306,-62.83611,,READY_MEDIUM,Wikipedia; corroborated by multiple travel-press sources,oetkerhotels.com returned HTTP 429 on every attempt,,https://www.oetkerhotels.com/hotels/eden-rock-st-barths/,,,unknown,worlds_50_best
hotel_750,Ett Hem,Stockholm,Sweden,"Sköldungagatan 2, SE-114 27 Stockholm, Sweden",114 27,59.3456028,18.0677011,,READY_HIGH,"etthem.se ""find us"" page (own site, full Google Maps URL)",,,https://www.etthem.se/,https://guide.michelin.com/en/hotels-stays/stockholm/ett-hem-7183,1,confirmed,michelin_key_and_worlds_50_best
