restaurant_code,restaurant_name_as_listed,year,rank,list_type,confidence,match_method,evidence_source,status
rest_0327,Arpège,2004,25,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2004 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0176,Die Schwarzaldstube,2004,27,top_50,medium,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2004 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0735,The French Laundry,2005,3,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2005 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0080,Per Se,2005,7,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2005 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0766,Jean Georges,2005,9,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2005 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0335,Arzak,2005,21,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2005 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0236,L'Hotel de Ville,2005,25,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2005 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Crissier); historical listings append chef name (Philippe Rochat) which the parser mis-split as a city.",proposed
rest_0327,Arpège,2005,26,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2005 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0381,Enoteca Pinchiorri,2005,48,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2005 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0735,The French Laundry,2006,4,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2006 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0080,Per Se,2006,8,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2006 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0335,Arzak,2006,9,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2006 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0356,Mugaritz,2006,10,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2006 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Errenteria, Gipuzkoa, near San Sebastian) across all years; press commonly labels it ""San Sebastian"".",proposed
rest_0766,Jean Georges,2006,16,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2006 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0337,El Celler de Can Roca,2006,21,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2006 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0165,Hof van Cleve,2006,23,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2006 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0381,Enoteca Pinchiorri,2006,29,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2006 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0315,Le Calandre,2006,31,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2006 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Rubano, Province of Padua) across all years; ""Padua"" is the metro-area label.",proposed
rest_0059,Le Bernardin,2006,32,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2006 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0339,Martin Berasategui,2006,37,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2006 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0176,Die Schwarzaldstube,2006,41,top_50,medium,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2006 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0380,Dal Pescatore,2006,42,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2006 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Canneto sull'Oglio); historical listings sometimes truncate to ""Canneto"".",proposed
rest_0327,Arpège,2006,44,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2006 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0735,The French Laundry,2007,4,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2007 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0356,Mugaritz,2007,7,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2007 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Errenteria, Gipuzkoa, near San Sebastian) across all years; press commonly labels it ""San Sebastian"".",proposed
rest_0080,Per Se,2007,9,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2007 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0335,Arzak,2007,10,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2007 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0337,El Celler de Can Roca,2007,11,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2007 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0165,Hof van Cleve,2007,14,top_50,medium,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2007 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0315,Le Calandre,2007,16,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2007 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Rubano, Province of Padua) across all years; ""Padua"" is the metro-area label.",proposed
rest_0766,Jean Georges,2007,18,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2007 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0059,Le Bernardin,2007,26,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2007 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0339,Martin Berasategui,2007,27,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2007 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0380,Dal Pescatore,2007,31,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2007 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Canneto sull'Oglio); historical listings sometimes truncate to ""Canneto"".",proposed
rest_0772,Alinea,2007,36,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2007 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0381,Enoteca Pinchiorri,2007,41,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2007 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0327,Arpège,2007,43,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2007 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0356,Mugaritz,2008,4,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2008 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Errenteria, Gipuzkoa, near San Sebastian) across all years; press commonly labels it ""San Sebastian"".",proposed
rest_0735,The French Laundry,2008,5,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2008 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0080,Per Se,2008,6,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2008 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0335,Arzak,2008,8,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2008 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0766,Jean Georges,2008,17,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2008 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0059,Le Bernardin,2008,20,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2008 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0772,Alinea,2008,21,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2008 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0380,Dal Pescatore,2008,23,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2008 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Canneto sull'Oglio); historical listings sometimes truncate to ""Canneto"".",proposed
rest_0337,El Celler de Can Roca,2008,26,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2008 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0236,L'Hotel de Ville,2008,27,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2008 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Crissier); historical listings append chef name (Philippe Rochat) which the parser mis-split as a city.",proposed
rest_0165,Hof van Cleve,2008,28,top_50,medium,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2008 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0339,Martin Berasategui,2008,29,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2008 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0381,Enoteca Pinchiorri,2008,32,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2008 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0189,Vendôme,2008,34,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2008 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0176,Die Schwarzaldstube,2008,35,top_50,medium,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2008 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0315,Le Calandre,2008,36,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2008 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Rubano, Province of Padua) across all years; ""Padua"" is the metro-area label.",proposed
rest_0296,Asador Etxebarri,2008,44,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2008 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Axpe, municipality of Atxondo, Biscay) across all years; ""Axte""/""Atxondo"" are spelling/administrative variants of Axpe.",proposed
rest_0327,Arpège,2008,46,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2008 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0212,Tantris,2008,47,top_50,medium,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2008 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0356,Mugaritz,2009,4,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2009 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Errenteria, Gipuzkoa, near San Sebastian) across all years; press commonly labels it ""San Sebastian"".",proposed
rest_0337,El Celler de Can Roca,2009,5,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2009 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0080,Per Se,2009,6,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2009 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0335,Arzak,2009,8,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2009 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0772,Alinea,2009,10,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2009 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0735,The French Laundry,2009,12,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2009 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0078,Osteria Francescana,2009,13,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2009 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0059,Le Bernardin,2009,15,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2009 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0236,L'Hotel de Ville,2009,16,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2009 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Crissier); historical listings append chef name (Philippe Rochat) which the parser mis-split as a city.",proposed
rest_0766,Jean Georges,2009,19,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2009 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0310,Narisawa,2009,20,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2009 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0176,Die Schwarzaldstube,2009,23,top_50,medium,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2009 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0189,Vendôme,2009,25,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2009 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0165,Hof van Cleve,2009,26,top_50,medium,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2009 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0266,Steirereck,2009,30,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2009 list (past-lists archive), retrieved 2026-08-07; match note: Historical listings use the short form ""Steirereck""; catalogue carries the full official name ""Steirereck im Stadtpark"", same Vienna venue.",proposed
rest_0339,Martin Berasategui,2009,33,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2009 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0296,Asador Etxebarri,2009,39,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2009 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Axpe, municipality of Atxondo, Biscay) across all years; ""Axte""/""Atxondo"" are spelling/administrative variants of Axpe.",proposed
rest_0212,Tantris,2009,44,top_50,medium,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2009 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0380,Dal Pescatore,2009,48,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2009 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Canneto sull'Oglio); historical listings sometimes truncate to ""Canneto"".",proposed
rest_0315,Le Calandre,2009,49,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2009 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Rubano, Province of Padua) across all years; ""Padua"" is the metro-area label.",proposed
rest_0337,El Celler de Can Roca,2010,4,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2010 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0356,Mugaritz,2010,5,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2010 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Errenteria, Gipuzkoa, near San Sebastian) across all years; press commonly labels it ""San Sebastian"".",proposed
rest_0078,Osteria Francescana,2010,6,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2010 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0772,Alinea,2010,7,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2010 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0335,Arzak,2010,9,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2010 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0080,Per Se,2010,10,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2010 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0236,L'Hotel de Ville,2010,14,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2010 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Crissier); historical listings append chef name (Philippe Rochat) which the parser mis-split as a city.",proposed
rest_0059,Le Bernardin,2010,15,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2010 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0165,Hof van Cleve,2010,17,top_50,medium,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2010 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0315,Le Calandre,2010,20,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2010 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Rubano, Province of Padua) across all years; ""Padua"" is the metro-area label.",proposed
rest_0266,Steirereck,2010,21,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2010 list (past-lists archive), retrieved 2026-08-07; match note: Historical listings use the short form ""Steirereck""; catalogue carries the full official name ""Steirereck im Stadtpark"", same Vienna venue.",proposed
rest_0189,Vendôme,2010,22,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2010 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0310,Narisawa,2010,24,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2010 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0237,Schloss Schauenstein,2010,30,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2010 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0735,The French Laundry,2010,32,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2010 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0339,Martin Berasategui,2010,33,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2010 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0186,Aqua,2010,34,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2010 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0380,Dal Pescatore,2010,36,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2010 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Canneto sull'Oglio); historical listings sometimes truncate to ""Canneto"".",proposed
rest_0037,De Librije,2010,37,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2010 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0176,Die Schwarzaldstube,2010,47,top_50,medium,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2010 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0507,Nihonryori Ryugin,2010,48,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2010 list (past-lists archive), retrieved 2026-08-07; match note: Historical ""Nihonryori RyuGin"" is the full-form name for the same Tokyo venue the catalogue lists as ""RyuGin"".",proposed
rest_0045,Eleven Madison Park,2010,50,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2010 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0337,El Celler de Can Roca,2011,2,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0356,Mugaritz,2011,3,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Errenteria, Gipuzkoa, near San Sebastian) across all years; press commonly labels it ""San Sebastian"".",proposed
rest_0078,Osteria Francescana,2011,4,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0772,Alinea,2011,6,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0335,Arzak,2011,8,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0080,Per Se,2011,10,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0310,Narisawa,2011,12,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0165,Hof van Cleve,2011,15,top_50,medium,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0059,Le Bernardin,2011,18,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0327,Arpège,2011,19,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0321,Restaurant Frantzén,2011,20,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07; match note: Same Stockholm venue under its 2013-era name ""Frantzén/Lindeberg"" (Björn Frantzén and Daniel Lindeberg's original partnership name); catalogue lists it under the current name ""Frantzén"".",proposed
rest_0189,Vendôme,2011,21,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0266,Steirereck,2011,22,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07; match note: Historical listings use the short form ""Steirereck""; catalogue carries the full official name ""Steirereck im Stadtpark"", same Vienna venue.",proposed
rest_0237,Schloss Schauenstein,2011,23,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0045,Eleven Madison Park,2011,24,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0186,Aqua,2011,25,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0339,Martin Berasategui,2011,29,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0315,Le Calandre,2011,32,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Rubano, Province of Padua) across all years; ""Padua"" is the metro-area label.",proposed
rest_0442,Amber,2011,37,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0380,Dal Pescatore,2011,38,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Canneto sull'Oglio); historical listings sometimes truncate to ""Canneto"".",proposed
rest_0037,De Librije,2011,46,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0236,Restaurant de l'Hotel de Ville,2011,47,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Crissier); historical listings append chef name (Philippe Rochat) which the parser mis-split as a city.",proposed
rest_0133,Pujol,2011,49,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0296,Asador Etxebarri,2011,50,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2011 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Axpe, municipality of Atxondo, Biscay) across all years; ""Axte""/""Atxondo"" are spelling/administrative variants of Axpe.",proposed
rest_0337,El Celler de Can Roca,2012,2,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2012 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0356,Mugaritz,2012,3,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2012 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Errenteria, Gipuzkoa, near San Sebastian) across all years; press commonly labels it ""San Sebastian"".",proposed
rest_0078,Osteria Francescana,2012,5,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2012 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0080,Per Se,2012,6,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2012 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0772,Alinea,2012,7,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2012 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0335,Arzak,2012,8,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2012 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0045,Eleven Madison Park,2012,10,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2012 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0266,Steirereck,2012,11,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2012 list (past-lists archive), retrieved 2026-08-07; match note: Historical listings use the short form ""Steirereck""; catalogue carries the full official name ""Steirereck im Stadtpark"", same Vienna venue.",proposed
