year,rank,list_type,hotel_name_as_listed,city_as_listed,country_as_listed,classification,reason,country_in_catalogue,candidate_hotel_code,candidate_hotel_name,candidate_score
2023,11,top_50,Capella Bangkok,Bangkok,Thailand,UNMATCHED,"Country 'Thailand' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,12,top_50,The Calile,Brisbane,Australia,UNMATCHED,"Country 'Australia' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,13,top_50,Chablé Yucatán,Mérida,Mexico,UNMATCHED,"Country 'Mexico' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,15,top_50,Singita – Kruger National Park,Kruger National Park,South Africa,UNMATCHED,"Country 'South Africa' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,16,top_50,Claridge's,London,United Kingdom,UNMATCHED,"Country 'United Kingdom' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,18,top_50,Nihi Sumba,Sumba,Indonesia,UNMATCHED,"Country 'Indonesia' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,19,top_50,Hotel Esencia,Tulum,Mexico,UNMATCHED,"Country 'Mexico' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,22,top_50,The Connaught,London,United Kingdom,UNMATCHED,"Country 'United Kingdom' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,23,top_50,Royal Mansour,Marrakech,Morocco,UNMATCHED,"Country 'Morocco' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,25,top_50,Aman New York,New York City,United States,UNMATCHED,"Country 'United States' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,26,top_50,The Maybourne Riviera,Roquebrune-Cap-Martin,France,UNMATCHED,"Country 'France' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,27,top_50,Rosewood São Paulo,São Paulo,Brazil,UNMATCHED,"Brazil has exactly 1 catalogue hotel (Copacabana Palace, Rio de Janeiro) - different city, not present.",True,hotel_195,"Copacabana Palace, A Belmond Hotel, Rio de Janeiro",0.212
2023,29,top_50,Le Bristol Paris,Paris,France,UNMATCHED,"Country 'France' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,31,top_50,La Réserve Paris,Paris,France,UNMATCHED,"Country 'France' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,32,top_50,Gleneagles,Auchterarder,United Kingdom,UNMATCHED,"Country 'United Kingdom' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,33,top_50,Hotel Du Cap-Eden-Roc,Cap d'Antibes,France,UNMATCHED,"Country 'France' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,34,top_50,Cheval Blanc Paris,Paris,France,UNMATCHED,"Country 'France' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,35,top_50,Four Seasons Astir Palace Hotel Athens,Athens,Greece,UNMATCHED,"Country 'Greece' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,36,top_50,Soneva Jani,Noonu Atoll,Maldives,UNMATCHED,"Country 'Maldives' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,37,top_50,The Newt in Somerset,Castle Cary,United Kingdom,UNMATCHED,"Country 'United Kingdom' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,38,top_50,Amangalla,Galle,Sri Lanka,UNMATCHED,"Country 'Sri Lanka' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,39,top_50,Hoshinoya Tokyo,Tokyo,Japan,UNMATCHED,"Distinct from catalogue's ""Hoshinoya Kyoto"" - same brand, different city/property.",True,hotel_653,Hoshinoya Kyoto,0.867
2023,40,top_50,Desa Potato Head,Denpasar,Indonesia,UNMATCHED,"Country 'Indonesia' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,41,top_50,Eden Rock St Barts,Saint-Jean,St Barts,UNMATCHED,"Country 'St Barts' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,42,top_50,The Siam,Bangkok,Thailand,UNMATCHED,"Country 'Thailand' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,44,top_50,Atlantis The Royal,Dubai,United Arab Emirates,UNMATCHED,"Country 'United Arab Emirates' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,45,top_50,The Oberoi Amarvilas,Agra,India,UNMATCHED,"Country 'India' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,46,top_50,NoMad London,London,United Kingdom,UNMATCHED,"Country 'United Kingdom' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,47,top_50,The Savoy,London,United Kingdom,UNMATCHED,"Country 'United Kingdom' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,48,top_50,Equinox Hotel New York,New York City,United States,UNMATCHED,"Country 'United States' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,49,top_50,Six Senses Ibiza,Ibiza,Spain,UNMATCHED,"Direct catalogue search for ""Ibiza"" returns only ""Petunia Ibiza, Beaumier Hotel"" - different property, not present.",True,hotel_470,Four Seasons Hotel Madrid,0.39
2023,50,top_50,Hôtel de Crillon,Paris,France,UNMATCHED,"Country 'France' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,1,top_50,Capella Bangkok,Bangkok,Thailand,UNMATCHED,"Country 'Thailand' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,2,top_50,Passalacqua,Lake Como,Italy,UNMATCHED,"Direct catalogue search for ""Passalacqua"" returns zero results - not present under any name. Notable gap: The World's Best Hotel 2023 (rank 1), ranked all 3 years.",True,hotel_421,Casa Clàt,0.5
2024,3,top_50,Rosewood Hong Kong,Hong Kong,Hong Kong,UNMATCHED,"Country 'Hong Kong' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,4,top_50,Cheval Blanc,Paris,France,UNMATCHED,"Country 'France' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,5,top_50,The Upper House,Hong Kong,Hong Kong,UNMATCHED,"Country 'Hong Kong' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,7,top_50,Aman Tokyo,Tokyo,Japan,UNMATCHED,"Distinct from catalogue's ""Aman Kyoto"" - same brand, different city/property. Notable gap: ranked top-10 in 2023 and 2025, appears all 3 years.",True,hotel_679,Aman Kyoto,0.8
2024,8,top_50,Soneva Fushi,Maldives,Maldives,UNMATCHED,"Country 'Maldives' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,9,top_50,Atlantis The Royal,Dubai,UAE,UNMATCHED,"Country 'UAE' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,10,top_50,Nihi Sumba,Sumba Island,Indonesia,UNMATCHED,"Country 'Indonesia' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,11,top_50,Claridge's,London,UK,UNMATCHED,"Country 'UK' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,12,top_50,Mandarin Oriental Bangkok,Bangkok,Thailand,UNMATCHED,"Country 'Thailand' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,13,top_50,Raffles London at The OWO,London,UK,UNMATCHED,"Country 'UK' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,14,top_50,Four Seasons Bangkok at Chao Phraya River,Bangkok,Thailand,UNMATCHED,"Country 'Thailand' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,15,top_50,Hôtel de Crillon,Paris,France,UNMATCHED,"Country 'France' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,16,top_50,Chablé Yucatán,Chocholá,Mexico,UNMATCHED,"Country 'Mexico' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,17,top_50,Hotel du Cap-Eden-Roc,Antibes,France,UNMATCHED,"Country 'France' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,18,top_50,Maroma,Riviera Maya,Mexico,UNMATCHED,"Country 'Mexico' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,19,top_50,Four Seasons Firenze,Florence,Italy,UNMATCHED,Same as above - not present under any name.,True,hotel_446,The Place Firenze,0.541
2024,20,top_50,Borgo Santandrea,Amalfi,Italy,UNMATCHED,"Distinct from catalogue's ""Borgo Santo Pietro"" (hotel_455, Chiusdino/Tuscany) - different region, different property.",True,hotel_455,Borgo Santo Pietro,0.647
2024,21,top_50,Desa Potato Head,Bali,Indonesia,UNMATCHED,"Country 'Indonesia' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,23,top_50,The Lana,Dubai,UAE,UNMATCHED,"Country 'UAE' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,24,top_50,Rosewood São Paulo,São Paulo,Brazil,UNMATCHED,"Brazil has exactly 1 catalogue hotel (Copacabana Palace, Rio de Janeiro) - different city, not present.",True,hotel_195,"Copacabana Palace, A Belmond Hotel, Rio de Janeiro",0.212
2024,25,top_50,The Calile,Brisbane,Australia,UNMATCHED,"Country 'Australia' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,26,top_50,The Siam,Bangkok,Thailand,UNMATCHED,"Country 'Thailand' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,28,top_50,Mount Nelson,Cape Town,South Africa,UNMATCHED,"Country 'South Africa' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,29,top_50,One&Only Mandarina,Riviera Nayarit,Mexico,UNMATCHED,"Country 'Mexico' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,30,top_50,The Carlyle,New York,USA,UNMATCHED,"Country 'USA' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,31,top_50,La Mamounia,Marrakech,Morocco,UNMATCHED,"Country 'Morocco' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,34,top_50,Four Seasons at The Surf Club,Surfside,USA,UNMATCHED,"Country 'USA' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,35,top_50,Hotel Bel-Air,Los Angeles,USA,UNMATCHED,"Country 'USA' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,36,top_50,Eden Rock,St. Barths,St. Barths,UNMATCHED,"Country 'St. Barths' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,37,top_50,Aman New York,New York,USA,UNMATCHED,"Country 'USA' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,38,top_50,Royal Mansour,Marrakech,Morocco,UNMATCHED,"Country 'Morocco' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,39,top_50,Amangalla,Galle,Sri Lanka,UNMATCHED,"Country 'Sri Lanka' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,40,top_50,Le Bristol,Paris,France,UNMATCHED,"Country 'France' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,41,top_50,Gleneagles,Auchterarder,UK,UNMATCHED,"Country 'UK' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,43,top_50,Suján Jawai,Rajasthan,India,UNMATCHED,"Country 'India' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,44,top_50,Singita – Kruger National Park,Kruger National Park,South Africa,UNMATCHED,"Country 'South Africa' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,45,top_50,Six Senses Zighy Bay,Zighy,Oman,UNMATCHED,"Country 'Oman' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,46,top_50,The Connaught,London,UK,UNMATCHED,"Country 'UK' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,47,top_50,The Brando,Tetiaroa,French Polynesia,UNMATCHED,"Country 'French Polynesia' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,48,top_50,Hotel Esencia,Tulum,Mexico,UNMATCHED,"Country 'Mexico' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,49,top_50,The Tasman,Hobart,Australia,UNMATCHED,"Country 'Australia' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2024,50,top_50,Kokomo Private Island,Yaukuve Levu Island,Fiji,UNMATCHED,"Country 'Fiji' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,1,top_50,Rosewood Hong Kong,Hong Kong,China,UNMATCHED,"Country 'China' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,2,top_50,Four Seasons Bangkok at Chao Phraya River,Bangkok,Thailand,UNMATCHED,"Country 'Thailand' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,3,top_50,Capella Bangkok,Bangkok,Thailand,UNMATCHED,"Country 'Thailand' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,4,top_50,Passalacqua,Lake Como,Italy,UNMATCHED,"Direct catalogue search for ""Passalacqua"" returns zero results - not present under any name. Notable gap: The World's Best Hotel 2023 (rank 1), ranked all 3 years.",True,hotel_421,Casa Clàt,0.5
2025,6,top_50,Atlantis The Royal,Dubai,UAE,UNMATCHED,"Country 'UAE' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,7,top_50,Mandarin Oriental Bangkok,Bangkok,Thailand,UNMATCHED,"Country 'Thailand' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,8,top_50,Chablé Yucatán,Chocholá,Mexico,UNMATCHED,"Country 'Mexico' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,9,top_50,Four Seasons Firenze,Florence,Italy,UNMATCHED,Same as above - not present under any name.,True,hotel_446,The Place Firenze,0.541
2025,10,top_50,Upper House Hong Kong,Hong Kong,China,UNMATCHED,"Country 'China' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,12,top_50,Capella Sydney,Sydney,Australia,UNMATCHED,"Country 'Australia' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,13,top_50,Royal Mansour,Marrakech,Morocco,UNMATCHED,"Country 'Morocco' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,14,top_50,Mandarin Oriental Qianmen,Beijing,China,UNMATCHED,"Country 'China' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,16,top_50,Claridge's,London,UK,UNMATCHED,"Country 'UK' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,17,top_50,Four Seasons Astir Palace,Athens,Greece,UNMATCHED,"Country 'Greece' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,18,top_50,Desa Potato Head,Bali,Indonesia,UNMATCHED,"Country 'Indonesia' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,19,top_50,Le Bristol,Paris,France,UNMATCHED,"Country 'France' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,20,top_50,Jumeirah Marsa Al Arab,Dubai,UAE,UNMATCHED,"Country 'UAE' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,21,top_50,Cheval Blanc Paris,Paris,France,UNMATCHED,"Country 'France' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,22,top_50,Bulgari Roma,Rome,Italy,UNMATCHED,"Direct catalogue search for ""Bulgari""/""Bvlgari"" returns only the Tokyo property - Rome property not present.",True,hotel_399,LA ROQQA,0.6
2025,23,top_50,Hôtel de Crillon,Paris,France,UNMATCHED,"Country 'France' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,24,top_50,Rosewood São Paulo,São Paulo,Brazil,UNMATCHED,"Brazil has exactly 1 catalogue hotel (Copacabana Palace, Rio de Janeiro) - different city, not present.",True,hotel_195,"Copacabana Palace, A Belmond Hotel, Rio de Janeiro",0.212
2025,25,top_50,Aman Tokyo,Tokyo,Japan,UNMATCHED,"Distinct from catalogue's ""Aman Kyoto"" - same brand, different city/property. Notable gap: ranked top-10 in 2023 and 2025, appears all 3 years.",True,hotel_679,Aman Kyoto,0.8
2025,26,top_50,Hotel Il Pellicano,Porto Ercole,Italy,UNMATCHED,"Direct catalogue search for ""Pellicano"" returns zero results - not present under any name.",True,hotel_356,Hotel Locarno,0.71
2025,27,top_50,Hôtel du Couvent,Nice,France,UNMATCHED,"Country 'France' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,28,top_50,Soneva Fushi,Maldives,Maldives,UNMATCHED,"Country 'Maldives' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,29,top_50,The Connaught,London,UK,UNMATCHED,"Country 'UK' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,30,top_50,La Mamounia,Marrakech,Morocco,UNMATCHED,"Country 'Morocco' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,31,top_50,Raffles London at The OWO,London,UK,UNMATCHED,"Country 'UK' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,32,top_50,The Emory,London,UK,UNMATCHED,"Country 'UK' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,33,top_50,Maroma,Riviera Maya,Mexico,UNMATCHED,"Country 'Mexico' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,34,top_50,The Calile,Brisbane,Australia,UNMATCHED,"Country 'Australia' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,35,top_50,The Lana,Dubai,UAE,UNMATCHED,"Country 'UAE' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,38,top_50,The Taj Mahal Palace,Mumbai,India,UNMATCHED,"Country 'India' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,39,top_50,One&Only Mandarina,Riviera Nayarit,Mexico,UNMATCHED,"Country 'Mexico' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,40,top_50,Singita – Kruger National Park,Kruger National Park,South Africa,UNMATCHED,"Country 'South Africa' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,41,top_50,Mandarin Oriental Hong Kong,Hong Kong,China,UNMATCHED,"Country 'China' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,42,top_50,Hotel Bel-Air,Los Angeles,USA,UNMATCHED,"Country 'USA' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,43,top_50,The Mark,New York,USA,UNMATCHED,"Country 'USA' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,44,top_50,Las Ventanas al Paraíso,Los Cabos,Mexico,UNMATCHED,"Country 'Mexico' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,45,top_50,The Tokyo Edition Toranomon,Tokyo,Japan,UNMATCHED,"No plausible match in catalogue; distinct from ""The Tokyo Station Hotel"" (different brand/property).",True,hotel_661,The Tokyo Station Hotel,0.64
2025,47,top_50,Estelle Manor,Witney,UK,UNMATCHED,"Country 'UK' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,50,top_50,Mandapa,Bali,Indonesia,UNMATCHED,"Country 'Indonesia' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,51,extended_51_100,Aman Nai Lert,Bangkok,Thailand,UNMATCHED,"Country 'Thailand' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,53,extended_51_100,Borgo Santandrea,Amalfi,Italy,UNMATCHED,"Distinct from catalogue's ""Borgo Santo Pietro"" (hotel_455, Chiusdino/Tuscany) - different region, different property.",True,hotel_455,Borgo Santo Pietro,0.647
2025,54,extended_51_100,The Peninsula Hong Kong,Hong Kong,Hong Kong,UNMATCHED,"Country 'Hong Kong' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,55,extended_51_100,Four Seasons Tamarindo,La Manzanilla,Costa Rica,UNMATCHED,"Country 'Costa Rica' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,56,extended_51_100,Nihi Sumba,Sumba Island,Indonesia,UNMATCHED,"Country 'Indonesia' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
